method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar100-res50-infobatch_grad_r0.8,cifar100,Error Detection,41.12,87.36,62.38
cifar100-res50-infobatch_grad_r0.8,cifar100,Error Detection,41.11,87.36,62.39
cifar100-res50-infobatch_grad_r0.8,cifar100,Places365_mean,66.03	+/- 1.40,76.05	+/- 0.27,35.59	+/- 0.67
cifar100-res50-infobatch_grad_r0.8,cifar100,Textures_mean,75.36	+/- 1.66,72.23	+/- 0.43,30.43	+/- 0.54
cifar100-res50-infobatch_grad_r0.8,cifar100,SVHN_mean,57.05	+/- 0.93,78.64	+/- 0.35,37.88	+/- 0.84
cifar100-res50-infobatch_grad_r0.8,cifar100,LSUN_crop_mean,48.69	+/- 0.90,84.19	+/- 0.30,50.51	+/- 0.54
cifar100-res50-infobatch_grad_r0.8,cifar100,LSUN_resize_mean,61.67	+/- 0.97,76.23	+/- 0.38,35.83	+/- 0.73
cifar100-res50-infobatch_grad_r0.8,cifar100,iSUN_mean,62.38	+/- 0.96,75.42	+/- 0.30,34.26	+/- 0.47
cifar100-res50-infobatch_grad_r0.8,cifar100,mean,61.86,77.13,37.41
cifar100-res50-infobatch_r0.8,cifar100,Error Detection,40.37,87.35,63.02
cifar100-res50-infobatch_r0.8,cifar100,Places365_mean,64.99	+/- 1.82,76.27	+/- 0.48,35.74	+/- 0.72
cifar100-res50-infobatch_r0.8,cifar100,Textures_mean,67.86	+/- 1.04,74.39	+/- 0.25,31.87	+/- 0.47
cifar100-res50-infobatch_r0.8,cifar100,SVHN_mean,62.26	+/- 1.73,77.07	+/- 0.43,36.08	+/- 0.77
cifar100-res50-infobatch_r0.8,cifar100,LSUN_crop_mean,47.39	+/- 0.75,85.24	+/- 0.35,52.36	+/- 0.83
cifar100-res50-infobatch_r0.8,cifar100,LSUN_resize_mean,74.06	+/- 1.00,70.96	+/- 0.40,31.27	+/- 0.60
cifar100-res50-infobatch_r0.8,cifar100,iSUN_mean,74.27	+/- 1.29,71.16	+/- 0.49,30.67	+/- 0.57
cifar100-res50-infobatch_r0.8,cifar100,mean,65.14,75.85,36.33
