method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,Error Detection,45.99,85.41,75.60
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,Places365_mean,61.89	+/- 1.16,75.56	+/- 0.32,33.92	+/- 0.33
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,Textures_mean,76.55	+/- 1.91,67.30	+/- 0.23,25.29	+/- 0.27
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,SVHN_mean,49.84	+/- 0.96,80.96	+/- 0.39,42.44	+/- 0.70
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,LSUN_crop_mean,36.87	+/- 1.10,90.38	+/- 0.31,69.84	+/- 0.73
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,LSUN_resize_mean,57.59	+/- 0.84,77.84	+/- 0.45,36.46	+/- 0.59
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,iSUN_mean,54.37	+/- 1.16,79.25	+/- 0.28,38.00	+/- 0.55
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,mean,56.18,78.55,40.99
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,Error Detection,45.39,85.52,75.97
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,Places365_mean,62.43	+/- 1.05,75.08	+/- 0.37,33.65	+/- 0.58
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,Textures_mean,76.82	+/- 0.85,68.49	+/- 0.21,27.75	+/- 0.41
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,SVHN_mean,67.68	+/- 0.82,68.30	+/- 0.40,25.51	+/- 0.49
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,LSUN_crop_mean,38.33	+/- 1.05,90.25	+/- 0.26,70.32	+/- 0.57
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,LSUN_resize_mean,54.44	+/- 0.83,79.09	+/- 0.27,39.26	+/- 0.47
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,iSUN_mean,54.27	+/- 0.74,79.46	+/- 0.29,40.05	+/- 0.67
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,mean,59.00,76.78,39.42
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,Error Detection,45.60,85.21,75.39
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,Places365_mean,62.96	+/- 0.62,74.75	+/- 0.36,33.13	+/- 0.64
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,Textures_mean,75.79	+/- 1.27,67.50	+/- 0.40,26.96	+/- 0.42
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,SVHN_mean,47.70	+/- 0.52,85.81	+/- 0.17,57.24	+/- 0.49
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,LSUN_crop_mean,40.66	+/- 1.29,90.26	+/- 0.27,70.93	+/- 0.60
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,LSUN_resize_mean,55.12	+/- 1.06,79.82	+/- 0.14,40.32	+/- 0.34
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,iSUN_mean,56.07	+/- 0.92,78.89	+/- 0.39,38.87	+/- 0.53
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,mean,56.38,79.51,44.57
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,Error Detection,46.90,85.39,76.88
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,Places365_mean,65.12	+/- 0.88,73.47	+/- 0.36,31.41	+/- 0.45
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,Textures_mean,74.96	+/- 0.64,67.09	+/- 0.43,26.10	+/- 0.32
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,SVHN_mean,36.02	+/- 0.85,89.93	+/- 0.22,65.01	+/- 0.67
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,LSUN_crop_mean,38.04	+/- 0.35,90.62	+/- 0.18,71.48	+/- 0.44
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,LSUN_resize_mean,55.05	+/- 0.50,78.16	+/- 0.25,35.66	+/- 0.50
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,iSUN_mean,56.55	+/- 0.38,77.11	+/- 0.29,35.08	+/- 0.48
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,mean,54.29,79.40,44.12
tiny-imagenet-res18-baseline,tiny-imagenet,Error Detection,47.58,85.48,75.66
tiny-imagenet-res18-baseline,tiny-imagenet,Places365_mean,61.76	+/- 1.32,75.52	+/- 0.36,33.41	+/- 0.53
tiny-imagenet-res18-baseline,tiny-imagenet,Textures_mean,74.97	+/- 1.34,67.94	+/- 0.42,25.80	+/- 0.38
tiny-imagenet-res18-baseline,tiny-imagenet,SVHN_mean,76.68	+/- 0.48,58.31	+/- 0.51,20.36	+/- 0.34
