epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr,num_cut
1,0.8,154.45705652236938,5.835957050323486,res18,5.072075001114165,2.8649999999999998,5.535650730895996,0.63,65.10572160164591,1.6178895389536243,99.56865589568797,92.60340142900272,988.8495344491485,27.072930016331597,2.9740383848547935,55.356507301330566,0.0,0
2,0.8,94.88125991821289,5.708253860473633,res18,8.067330573551867,2.1898166211470933,5.41414510345459,0.8500000000000001,59.17291091928452,1.9067121370723097,99.26100640427606,95.53202218860312,986.3614697590683,35.38682724069797,1.3400276191532612,54.14145469665527,0.0,38488
3,0.8,82.32102012634277,5.098856449127197,res18,8.247094139908299,2.5300367728050706,5.52849247970581,0.63,56.57563283607361,0.9439582687229026,99.43914682842497,93.00593740565563,991.7643754168234,29.987770984006513,3.119140863418579,55.28492450714111,0.0,79477
4,0.8,83.38001656532288,4.3950583934783936,res18,8.578634337547722,2.9718428656030724,5.332363765716552,1.34,56.22785625894448,3.2055255699755403,98.67742098092697,95.92540036488953,979.8818464519941,51.069354117132534,1.7399227246642113,53.32364082336426,0.0,123754
5,0.8,86.00339722633362,5.570659160614014,res18,8.651790464064653,3.4974689369535206,5.436304786682129,0.69,62.948839747883575,1.6416510165814788,99.53781575771232,89.1853791158997,988.3628500866969,29.598863771611583,5.4207466542720795,54.36304569244385,0.0,169429
6,0.8,71.74681234359741,5.736898422241211,res18,8.632907839048476,3.951560316721006,5.233780584716797,1.35,64.17878395374593,3.7705890517043255,99.17178153781443,87.1566142929549,979.2733473128532,50.89173282561266,2.217632345855236,52.33780384063721,0.0,215754
7,0.8,81.75623655319214,3.6323299407958984,res18,8.535084668260355,4.7589500601684716,5.245390255737305,1.26,59.43362558716012,2.4115625581307203,99.00591937358784,93.43731010735264,981.3491416889715,49.062278348282476,4.556259140372276,52.453904151916504,0.0,262570
8,0.8,82.09719729423523,5.64350700378418,res18,8.499993988157184,5.02300395705928,5.367516956329346,1.53,62.926899204893694,2.623924686387457,98.98959476315817,89.41809688229918,977.4508066103773,56.70331410430851,5.439234524965286,53.675169944763184,0.0,309753
9,0.8,78.80967092514038,5.628752946853638,res18,8.379315517139204,5.650017040936115,5.198898085021972,2.34,58.29491292833501,3.0923036925186564,98.25800597534436,88.52140077821011,970.4846303351121,81.75208093998454,3.1119540333747864,51.98897838592529,0.0,356939
10,0.8,75.27765965461731,5.650036811828613,res18,8.32718990612956,5.954665501320514,5.245910511016846,2.1399999999999997,58.4499886353001,3.017992629865195,98.33097990776601,90.87471898630697,971.9030435915362,75.57244083035886,5.470182001590729,52.45911121368408,0.0,404308
11,0.8,74.73921155929565,4.011449098587036,res18,8.2341083122866,6.531141044449101,5.031809772491455,2.79,64.1678824877155,5.466234833724063,98.08995521939394,92.27445736035386,955.7897346120496,83.54742227736911,4.494360461831093,50.31809329986572,92.49,451821
12,0.8,83.08503890037537,6.329860687255859,res18,8.19779978871054,6.864244741873805,5.198858458709717,2.21,53.46265591749613,2.89066000108454,98.05829827480382,90.25462726250127,973.2483866922006,79.59751320933195,7.965503633022308,51.988582611083984,91.09,499521
13,0.8,80.68588376045227,5.6597819328308105,res18,8.143875909786598,6.92655627108249,5.024939994049072,3.16,63.27381979410119,7.262080836194759,97.88169600727544,91.2639405204461,947.6839467872229,88.44924859232373,5.788292363286018,50.24940013885498,0.0,547345
14,0.8,71.37225222587585,5.7452826499938965,res18,8.068933938000653,7.399081599323688,4.987549342346192,3.51,62.456230794918746,5.706149341090276,97.6096362513494,89.48077520986631,949.3514461285271,102.02079674123921,5.485411733388901,49.875497817993164,0.0,595298
15,0.8,81.76654314994812,3.9138002395629883,res18,8.050033009111,7.840792949842837,4.909742415618896,3.83,60.43567865977105,7.441243980669881,97.15956467919573,92.11812415514193,942.3750866565404,105.62138281760936,2.6706229895353317,49.0974235534668,93.38,643441
16,0.8,83.37333846092224,5.724074363708496,res18,8.001746611054894,7.9599591104596215,5.152467756652832,1.97,51.05605815271509,2.3888143571424267,98.17487032143343,90.57431398551465,977.7084465567298,74.77303842852234,10.73615625500679,51.52468204498291,0.0,691594
