epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr,num_cut
1,0.8,42.19294333457947,4.0081963539123535,res50,4.457640671059298,4.968,3.912689538574219,9.83,71.83581459278173,25.143842012465377,95.25830870969018,83.88599312409892,819.7953923978389,146.1249744526314,2.344861626625061,39.12689924240112,0.0,0
2,0.8,28.778082609176636,3.8152546882629395,res50,7.24521627344287,4.1158075254716024,4.277501123046875,10.16,70.18490001472433,21.42895998384906,94.6693886020879,85.73018699910952,829.6342999266833,163.5642131005992,1.7366107553243637,42.77500629425049,0.0,20261
3,0.8,27.478704690933228,3.4861090183258057,res50,7.124365579514277,4.372417530312267,3.787206903076172,11.48,69.6178622992737,23.781935567295005,93.67154685677758,88.36421147763217,808.4637957910049,171.75571946810274,1.3976460322737694,37.872071266174316,88.85,40735
4,0.8,26.537010192871094,3.4451487064361572,res50,7.310585636276382,4.478821622383537,3.793798303222656,12.47,69.77247622100651,24.337463566694282,93.3869485431319,82.0632925853993,797.4190729763379,181.72507293546735,2.9492655768990517,37.937984466552734,82.17,62357
5,0.8,26.814520120620728,3.430187463760376,res50,7.465516176889109,4.966139954853273,3.6439027893066407,13.780000000000001,67.84795721210027,27.61111344613376,91.93225132514529,86.0473208072373,776.8950905443733,187.8080651758487,3.4726087003946304,36.43902778625488,86.15,84891
6,0.8,26.234530925750732,3.42883563041687,res50,7.459692803604343,6.034322991956707,3.479242730712891,16.580000000000002,70.9867431478018,36.35473712072286,91.50073543305943,81.67106209542077,718.0687270394429,181.80685645482308,3.7033040076494217,34.79243040084839,81.71,107912
7,0.8,25.8181414604187,3.573601245880127,res50,7.4851436362816735,6.499417008312333,3.4660041442871092,16.82,71.65602068090661,38.91072745257904,91.00139817766598,85.97018514065881,705.7332889044806,173.7668664932419,1.781553030014038,34.660043716430664,86.05,131325
8,0.8,27.133090019226074,3.5655128955841064,res50,7.408686115191533,6.909637422506106,3.4506732360839845,18.37,70.42476471666602,37.18284946522643,90.16233999390212,84.27048879088571,698.399243991342,193.36994536934805,4.838418588042259,34.506733417510986,85.18,154710
9,0.8,25.54460310935974,3.8917274475097656,res50,7.381856314186911,7.46234682651087,3.3315831909179687,19.61,72.3840540496137,41.78093707938563,89.7220564580958,85.1598457519592,667.860161406996,183.432661434422,2.399270609021187,33.3158278465271,85.16,178351
10,0.8,25.70555567741394,3.5271973609924316,res50,7.404886392267739,7.6755475708115135,3.361949768066406,18.970000000000002,71.66339402855604,42.240590604704224,89.99424102095416,84.53659138590646,674.6885099001476,179.72898286735716,4.563089087605476,33.61949920654297,84.82,202190
11,0.8,26.466153144836426,3.652287006378174,res50,7.32557508057239,8.4292510742787,3.1638883666992186,23.200000000000003,73.67711420168823,48.92624221768905,88.57896322225278,83.48958333333333,608.2726826339019,179.22883713117378,7.2922587394714355,31.63888454437256,83.62,226126
12,0.8,27.804218530654907,3.58662486076355,res50,7.194602566986836,9.540690505548707,3.007158929443359,25.729999999999997,72.66840962358798,53.34671713719605,86.4687302705444,82.63094116063013,572.4573154567883,179.04529706616722,5.505462363362312,30.071589946746826,83.22,250174
13,0.8,25.030158042907715,3.505479335784912,res50,7.232479803632982,10.240565854416852,3.7748118774414063,25.6,71.78182753696237,44.99424408580862,86.73047798472098,81.26344086021506,608.8865240658787,213.7064496985378,3.6236315965652466,37.748117446899414,81.73,274443
14,0.8,25.889642238616943,3.6441824436187744,res50,7.121381731175664,10.707464431884622,2.915888586425781,27.93,72.15672434470783,53.097018629713766,85.28243692469741,82.10073539614264,555.1627174595219,190.7011549839819,7.5379252433776855,29.15888786315918,82.49,298788
15,0.8,24.926947832107544,3.432415723800659,res50,7.0135800385475155,11.617802481700396,2.8802530090332032,27.900000000000002,71.574254694048,52.91513846856617,85.16459246337128,82.46879334257974,557.1867228308838,192.34235853873898,5.128756910562515,28.802528381347656,82.69,323241
16,0.8,26.176465272903442,3.84694766998291,res50,6.992712998510006,12.126337319068597,2.8797288818359377,28.49,72.7317884638539,55.30986586687463,84.97047646711886,83.72255628583414,540.7934339940847,183.41872797164515,5.50672821700573,28.797290325164795,83.74,347817
17,0.8,25.730035066604614,3.6004979610443115,res50,6.916723535518454,12.799398234292727,2.6778333190917967,32.36,75.26726374048897,63.14416427289233,84.42851112850215,79.24305144884684,474.4508395487326,163.15159910170078,4.874760657548904,26.77833318710327,79.45,372558
18,0.8,24.426167488098145,3.840878486633301,res50,6.90363270619194,13.295350412367027,2.7081998718261717,31.8,74.55577150076542,61.42270929932941,83.93157537693988,81.71554252199414,486.8365365674005,169.17037555962378,4.03556115925312,27.08199977874756,81.74,397459
19,0.8,25.435797214508057,3.9738757610321045,res50,7.064168096200014,12.56118109604429,2.6259361572265627,33.73,75.04176085479132,64.04686736754708,83.51236546526799,79.88531763995775,460.3574143858813,164.2291640871532,7.481532543897629,26.259360313415527,80.11,422533
20,0.8,27.261733293533325,3.584642171859741,res50,6.881668066241078,14.09956430530902,2.6096241455078126,33.93,72.76827874730832,58.82301785269911,82.37228672828228,80.49038898138338,484.3628504751832,190.40224749541278,5.925357341766357,26.09624147415161,80.76,447745
21,0.8,27.072847604751587,3.670531749725342,res50,6.755768743986936,15.0615788411064,2.566421496582031,34.86,74.97547979540425,65.32948577555774,82.58528705419376,79.53638317470065,446.4357752061957,162.40096406561676,5.49776628613472,25.664217472076416,79.58,472980
22,0.8,23.79350972175598,4.225069522857666,res50,6.810982748866081,15.214114003992993,2.5258280334472656,36.68,76.13677579599492,68.36629144754458,82.30939951331389,78.96399241945673,418.00131754130535,152.67917349972205,7.702356576919556,25.258281230926514,79.2,498437
23,0.8,25.482090711593628,4.3128132820129395,res50,6.751852288842201,15.818724204160025,2.576988488769531,36.39,74.1534972037585,65.06964870589181,81.24629259028191,79.32714981921082,437.45599692661085,169.21383677767875,8.706651628017426,25.769882202148438,79.34,523966
24,0.8,26.547021627426147,4.1156699657440186,res50,6.7095862825711565,16.220080058818724,2.4675223449707033,38.79,75.20199648246907,68.1353233781641,80.18536867246478,80.31367423623591,405.07509594781504,160.31938453741307,9.114157408475876,24.67522382736206,80.58,549484
