epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr,num_cut
1,0.5,106.55090618133545,4.732398509979248,res18,4.820719306121397,4.369,4.550675750732422,6.569999999999999,68.94125148594468,18.434202665462315,96.32108921843295,88.2371829176924,880.3138999437917,124.89242236818798,1.0965380817651749,45.50675868988037,88.49,0
2,0.5,107.298668384552,4.483261823654175,res18,4.34665888715583,9.464,4.145972445297241,11.65,72.064200373563,33.19997340154674,94.16401903261324,83.81437464629316,780.2191916170935,147.1783483133421,3.129183128476143,41.45972728729248,0.0,0
3,0.5,111.58650970458984,5.046196937561035,res18,3.9611610896752008,14.854999999999999,3.9384057415008544,14.580000000000002,70.23585388939154,34.342534035404036,92.24790912864115,84.3011004448607,747.4362975675388,173.9770347491638,4.872330650687218,39.38405752182007,84.45,0
4,0.5,114.86517262458801,3.574378252029419,res18,3.6693125030268794,19.525000000000002,3.6763746475219725,19.46,73.60704185596147,44.04223738178864,90.7494701138429,81.07772535386144,660.7187497233929,173.84180237959606,5.530936643481255,36.76374673843384,81.1,0
5,0.5,113.02669167518616,3.8664534091949463,res18,3.4229030276808285,23.469,3.4543797843933106,23.86,74.94200199438498,54.185251519029165,88.96027813307973,79.69529813501445,583.0798678360532,163.58573899540463,6.693781912326813,34.543797969818115,80.08,0
6,0.5,110.67777442932129,4.756519079208374,res18,3.2436175785406167,26.907999999999998,3.2955932739257814,26.91,76.56304981579957,59.81013925128784,88.42065209930003,78.1365439868655,532.3820846483417,154.72217938652204,5.000602826476097,32.9559326171875,78.14,0
7,0.5,110.99023842811584,4.946759223937988,res18,3.092666360728271,29.641000000000002,3.1249461029052736,29.45,76.21125789485717,61.35614970257887,86.84023663250274,76.83912119064493,504.2145497442583,158.73381299400924,9.155213832855225,31.24946117401123,76.97,0
8,0.5,111.88765144348145,4.933710098266602,res18,2.9775232588848493,31.885,3.1256960597991945,29.98,76.12447620512123,63.598012726543594,85.95495740441112,81.47672093687518,491.726440828242,152.67742088367115,10.167990624904633,31.256961822509766,81.52,0
9,0.5,112.05426979064941,6.225895643234253,res18,2.865369184547678,33.951,3.0633364784240724,31.619999999999997,78.97717234437388,68.45005322743556,87.3612694961514,74.26147996490202,454.61315812899767,134.87962612917693,7.3280856013298035,30.633366107940674,74.63,0
10,0.5,112.86813139915466,6.343524932861328,res18,2.773990378660314,35.664,3.0170988746643066,31.61,78.13474083428041,67.06112837859128,86.60962615497387,76.12224009358093,461.1957304374868,141.34704458780146,9.145164489746094,30.17099142074585,76.37,0
11,0.5,112.6010410785675,6.339832067489624,res18,2.6953844191778042,37.132,3.14035082988739,30.7,78.0932028521605,65.72575244890187,86.97906691404481,76.96969696969697,473.9588679529613,143.49748009120793,9.963855147361755,31.403508186340332,77.27,0
12,0.5,116.83024787902832,5.370784282684326,res18,2.6358626553469606,38.445,2.8467671586990355,35.76,79.53149856104486,72.89191151214662,84.85399649608772,76.24533001245331,401.3475178801874,126.68198616034881,9.455500543117523,28.467676639556885,76.81,0
