epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr,num_cut
1,0.8,284.9012749195099,17.009581327438354,res50,5.249282261294782,1.327,4.954196553421021,3.25,67.14342277877162,9.966403005808793,98.18754200447385,86.49095607235142,940.4191339331807,84.28087759669,0.6812332663685083,49.54195976257324,0.0,0
2,0.8,296.92800641059875,18.156570196151733,res50,4.78274529974174,4.501,4.613325943756103,6.45,70.80688932254444,19.9482867587357,96.7108573789067,83.49545697487974,876.8190995992611,118.1194081583976,1.0395733639597893,46.13325595855713,83.68,0
3,0.8,144.79626083374023,11.648430347442627,res50,9.838059025876065,7.5004164584374475,4.702077735137939,4.859999999999999,70.86920206825376,17.533341896349086,97.50135189352466,82.14210636956065,903.3913340421244,98.96413699860285,2.9225949198007584,47.02077865600586,0.0,51976
4,0.8,137.38909077644348,15.621309041976929,res50,9.862823951277376,8.338563421126668,4.648865723800659,6.35,71.44654035170323,19.589611927592827,97.00550275401957,79.01761879337961,878.713253968283,117.26468015908465,4.441464319825172,46.488656997680664,79.4,105769
5,0.8,128.08954095840454,16.683812141418457,res50,9.724956191888376,9.642911944584494,4.471997676467896,8.459999999999999,72.11972081602379,26.14921759739885,95.89970186571765,83.41708542713567,835.7642507797443,129.31110842624292,3.3649127930402756,44.719977378845215,0.0,160150
6,0.8,142.49111342430115,14.03848648071289,res50,9.443064707097873,11.29160063391442,4.297210662841797,9.66,71.28179442648452,28.265857113832354,95.10656638875132,83.88310825769317,817.1509834033715,139.52223695134148,1.6454054042696953,42.97210693359375,84.2,214718
7,0.8,135.1364119052887,17.59105634689331,res50,9.220270356435455,12.671903535986972,4.410719298553467,9.950000000000001,71.8847541427292,28.692672913109295,95.23645559308798,79.74458634092171,812.2418135320933,141.3477781964435,6.314293295145035,44.10719394683838,79.87,269271
8,0.8,120.80321764945984,16.3414204120636,res50,8.968570452057913,13.888094976365837,4.4573711517333985,10.58,73.02426073680459,29.60690816787424,95.2437405154233,78.67367479311116,799.8659637278281,143.31442728905796,6.115846708416939,44.57371234893799,0.0,323786
9,0.8,135.83364725112915,17.405763149261475,res50,8.786192341925393,15.379873632300816,4.198217716217041,11.940000000000001,71.13512524390444,31.594682369001383,93.95229548229747,83.79513967749261,781.5342181065017,154.69218182252365,4.691533744335175,41.982178688049316,84.06,378363
10,0.8,135.98148441314697,16.754807233810425,res50,8.623412469407203,16.491274516292716,4.4089182750701905,11.42,67.18120973886884,21.315329488802227,93.37929420324056,84.71438247911493,820.3816959255679,182.37331064258578,10.776439309120178,44.08918380737305,84.9,433036
11,0.8,126.64478659629822,18.072203397750854,res50,8.459687106710085,17.46661377760148,3.8239535495758057,17.19,73.67470507105742,43.52070685498802,91.7715621521074,83.40780099021858,686.446671087725,161.03547390511918,2.3911429569125175,38.23953866958618,83.41,487658
12,0.8,141.03202629089355,16.727172374725342,res50,8.328761115586017,18.638040333090363,3.770359945678711,17.39,72.80551019537336,44.34588014641555,91.49370872112073,82.31448977121414,684.2976380179373,162.39653575838574,4.8201970756053925,37.70360231399536,82.38,542385
13,0.8,122.91547322273254,17.16218876838684,res50,8.15637179069411,19.613841413402497,3.8336223396301268,17.61,73.25425348160944,42.91899368827907,91.63676801717243,81.55115912125258,684.645142510714,166.5785872095379,4.943105950951576,38.33622694015503,81.62,597274
14,0.8,134.62476778030396,13.67918348312378,res50,8.021624255315059,20.59142042566358,3.8346046188354492,17.52,72.01831687991887,39.41570234005376,91.10731854718216,84.09311348205625,697.2755580156461,177.64366601971514,9.944941103458405,38.34604740142822,84.26,652027
