epoch,rate,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.3,16.480610370635986,0.0009938503261272714,resnet18,0.01445739809423685,94.29,93.58579810878948,99.56187532346584,45.44307026450722,36.952714535901926,5.841728679318896,4.179578034074523,2.446085400879383,1.9268594682216644,37.13
2,0.3,9.890314102172852,0.0009755527298894293,resnet18,0.05628082528710365,94.57,93.72810069265734,99.59737576081992,45.44836923982817,37.20073664825046,5.352256176445032,3.8505783837512046,2.3090552538633347,1.8375971913337708,37.57
3,0.3,10.26635456085205,0.0009455577588320897,resnet18,0.0505237877368927,94.66,93.81427003484184,99.6094302267128,45.17801065685923,37.07865168539326,5.189880368082733,3.7380213534387385,2.363860420882702,1.8180350959300995,37.45
4,0.3,9.984232902526855,0.0009046039886902862,resnet18,0.015161576680839062,94.68,94.02175035179839,99.62762500573838,46.97121295455345,34.962406015037594,5.005400043275451,3.564495634172866,2.4074751883745193,1.7975686490535736,35.34
5,0.3,9.980653524398804,0.0008536998372026805,resnet18,0.006656556855887175,94.68,94.16624180857723,99.63797109812262,46.33322752950188,35.150375939849624,4.906401533254708,3.4654971241521233,2.518591284751892,1.7932398617267609,35.71
6,0.3,10.005370378494263,0.0007940987335200903,resnet18,0.0076354192569851875,94.86,93.86133035700371,99.6295945731507,42.49685784912875,36.57587548638132,4.896294141259207,3.5520811112280244,2.4522708728909492,1.782929003238678,37.16
7,0.3,10.339107990264893,0.0007272682546199036,resnet18,0.014566979371011257,94.87,93.83430408822497,99.62625946183081,42.630309581532025,36.84210526315789,4.9226374114461295,3.5836959172284595,2.4587903171777725,1.7816881835460663,37.43
8,0.3,10.072450399398804,0.0006548539886902863,resnet18,0.014988740906119347,94.84,93.98396197267368,99.63609922767569,45.39716404211869,36.82170542635659,4.8428251982784305,3.4880374699552963,2.4266257882118225,1.7779980599880219,37.21
9,0.3,10.003485918045044,0.0005786390152875953,resnet18,0.004690318834036589,94.9,93.92144465794748,99.6324348042796,43.824037197780356,37.05882352941177,4.847998787549313,3.524808660775879,2.368975803256035,1.7605385184288025,37.06
10,0.3,10.044755697250366,0.0005005,resnet18,0.008708231151103973,94.91,94.03939498882096,99.64293141638822,43.932639878275246,34.9705304518664,4.742744742079484,3.4247839948243235,2.45799720287323,1.7586076259613037,35.36
11,0.3,10.369294166564941,0.0004223609847124046,resnet18,0.07088322937488556,94.94,93.91887616143669,99.63552153988711,44.459292421220525,34.58498023715415,4.798622362077105,3.4962865400315537,2.4485211819410324,1.762872040271759,35.18
12,0.3,10.127466201782227,0.0003461460113097138,resnet18,0.006157186813652515,94.97,93.8120356517314,99.62785371746517,44.725277398184495,35.984095427435385,4.8570430713792225,3.570237377827983,2.3796550929546356,1.7610587179660797,36.18
13,0.3,10.06565523147583,0.00027373174538009644,resnet18,0.012602842412889004,94.99,93.77631724654701,99.63039534494021,42.63169491805178,35.92814371257485,4.823973666369349,3.5474687417610586,2.3869555443525314,1.7712806165218353,36.73
14,0.3,10.151479482650757,0.00020690126647990973,resnet18,0.009914158843457699,94.99,93.89499766652608,99.63888995421712,43.74117473824196,34.73053892215569,4.742379659112387,3.465874734504096,2.4149883538484573,1.75809845328331,35.13
15,0.3,10.053304433822632,0.00014730016279731955,resnet18,0.04044514521956444,95.0,93.79961052631579,99.63309533292536,42.51147030039362,35.8,4.793012060463484,3.5216417286365287,2.4033475667238235,1.7636577785015106,36.0
16,0.3,10.248224258422852,9.63960113097138e-05,resnet18,0.02327290177345276,94.99,93.9448085616324,99.64267117495783,43.37023034936383,35.12974051896208,4.706203573754784,3.4296986491464927,2.4184152483940125,1.7515553534030914,35.33
17,0.3,10.089589834213257,5.54422411679103e-05,resnet18,0.004349253606051207,95.12,93.62980023507838,99.63374578718692,40.219505783964145,36.885245901639344,4.730963198836211,3.5203872444495734,2.3888789117336273,1.7446234822273254,37.09
18,0.3,10.054655075073242,2.544727011057081e-05,resnet18,0.015595127828419209,95.0,93.87002105263159,99.64037362659452,42.09845548454313,36.0,4.723820688050228,3.4524503562232725,2.4410178884863853,1.757717877626419,36.4
19,0.3,10.45589566230774,7.14967387272874e-06,resnet18,0.005769695620983839,94.95,93.93413938550252,99.63271526972348,44.635092872820614,34.25742574257426,4.819848820123078,3.5227002390648234,2.4254463613033295,1.7586907744407654,34.46
20,0.3,15.076381206512451,1e-06,resnet18,0.018169859424233437,95.0,93.65925263157894,99.62053912918229,42.64595190322219,34.8,4.912790447001357,3.6414201151744017,2.538641542196274,1.770099252462387,35.2
1,0.5,18.03382158279419,0.0009938503261272714,resnet18,0.027246158570051193,94.29,93.4407282819204,99.55034894823117,44.6075936462347,37.3029772329247,5.950761822970413,4.28861117772604,2.4447228759527206,1.937212198972702,37.65
2,0.5,8.472526788711548,0.0009755527298894293,resnet18,0.0986260250210762,94.7,93.30566236974758,99.58242281574107,40.10068874434216,39.43396226415095,5.42979533577206,3.9998032846397975,2.2619877010583878,1.8383610248565674,39.81
3,0.5,10.242875099182129,0.0009455577588320897,resnet18,0.064643993973732,94.72,93.6764178951679,99.60303796899778,43.03742267952965,36.74242424242424,5.220240776483247,3.8011188446725255,2.2917022928595543,1.8042534589767456,37.12
4,0.5,13.837989568710327,0.0009046039886902862,resnet18,0.014285782352089882,94.75,93.70776228169369,99.61032265493841,43.77805592331191,36.76190476190476,5.135277336223097,3.732381405437057,2.3797571659088135,1.8020889163017273,37.14
5,0.5,14.100027084350586,0.0008536998372026805,resnet18,0.014455290511250496,94.84,93.67927705249805,99.61887426213747,43.14523142382431,35.46511627906977,5.008674200656544,3.6538864723334097,2.3311633616685867,1.7860516905784607,35.85
6,0.5,14.434213161468506,0.0007940987335200903,resnet18,0.017821434885263443,94.85,93.79567124381369,99.62636709940993,44.624072680393525,37.28155339805825,4.931128693200042,3.581633585504184,2.2804541513323784,1.7713485658168793,37.48
7,0.5,14.057567834854126,0.0007272682546199036,resnet18,0.009394017048180103,94.81,93.87884378431339,99.62656365244354,44.21259745847443,37.37957610789981,4.948962408287606,3.578233549189465,2.466132491827011,1.7793115973472595,37.76
8,0.5,13.799002170562744,0.0006548539886902863,resnet18,0.049689002335071564,94.9,93.87501807888592,99.634858893555,43.61235186357687,35.09803921568627,4.825706595215182,3.502516468441749,2.311353012919426,1.7686890065670013,35.29
9,0.5,14.224614381790161,0.0005786390152875953,resnet18,0.027698442339897156,94.8,94.13098425835767,99.64158204669558,47.15874712399376,35.0,4.809364309288772,3.4333006465940703,2.4235710501670837,1.7578648030757904,35.96
10,0.5,14.1289803981781,0.0005005,resnet18,0.02164992317557335,94.82,94.04597330931438,99.63575165660367,46.49200017059037,35.13513513513514,4.854823325637257,3.489418722724939,2.4607062339782715,1.7622770369052887,35.52
11,0.5,13.910649538040161,0.0004223609847124046,resnet18,0.02596568688750267,94.83,93.91234767866187,99.62546994326945,45.71128108418355,35.5899419729207,4.947977131445577,3.5878862384209214,2.530638873577118,1.7822754383087158,35.98
12,0.5,14.098814487457275,0.0003461460113097138,resnet18,0.028914907947182655,94.82,94.13739831373242,99.64494018739687,45.16252047428831,35.521235521235525,4.767763055398457,3.402358452486139,2.549349330365658,1.7756697535514832,35.71
13,0.5,14.065595388412476,0.00027373174538009644,resnet18,0.03621501475572586,94.89,93.85874549560836,99.62900691989633,43.892079515779216,36.20352250489237,4.885187494337784,3.5567574506381447,2.500612847507,1.7797894775867462,36.59
14,0.5,14.276772022247314,0.00020690126647990973,resnet18,0.05962098762392998,94.91,93.85043508284865,99.63001570717853,44.98891792689545,35.75638506876228,4.865791144473405,3.5478303972182452,2.461346611380577,1.7794296145439148,35.95
15,0.5,14.058410406112671,0.00014730016279731955,resnet18,0.02350093051791191,94.88,94.04916489908305,99.64003892938426,45.823476613593726,35.546875,4.784220442305045,3.450539943160899,2.4900367483496666,1.7564289271831512,35.94
16,0.5,13.841408491134644,9.63960113097138e-05,resnet18,0.015697112306952477,94.96,93.82103032521631,99.63429732843,43.13776984470377,37.5,4.801083829273967,3.50911195734413,2.4922914803028107,1.7737388610839844,38.1
17,0.5,7.337952613830566,5.54422411679103e-05,resnet18,0.045776207000017166,94.96,93.80439842673943,99.63624012515146,41.69651213026296,37.10317460317461,4.783321489666741,3.4913496177369043,2.466145157814026,1.7807179689407349,37.7
18,0.5,7.305732488632202,2.544727011057081e-05,resnet18,0.010862551629543304,94.92,93.99842718775197,99.64152797037052,44.417933290107776,36.61417322834646,4.750826456937,3.4380845529026605,2.440238557755947,1.7565837502479553,37.01
19,0.5,7.364382028579712,7.14967387272874e-06,resnet18,0.06660521775484085,94.98,93.71641670840329,99.6293080506604,41.86411440669746,36.65338645418327,4.839250740963784,3.5576006961501845,2.460166811943054,1.771148145198822,37.45
