epoch,rate/ratio,train_time,learning_rate,model,loss,train-acc,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,18.513569831848145,4.260385505646324e-05,res18,0.002882870379835367,1.0,94.62,93.01067506182036,99.53854516876144,44.741134670307645,38.28996282527881,5.884159362805071,4.4102643586565735,2.8838926926255226,2.0263737440109253,39.22
2,0.5,11.808185577392578,4.5852048527676216e-05,res18,0.003758640494197607,1.0,94.74,92.95363897671514,99.54535607865083,42.550703548412045,38.59315589353612,5.758928404537263,4.350634362318141,2.757418714463711,2.00289323925972,39.54
3,0.5,17.454020738601685,5.038716997104e-05,res18,0.005676263011991978,1.0,94.61,93.10162861735483,99.54388546150894,45.877405897582996,38.218923933209645,5.837604935843088,4.358174515634932,2.8876222670078278,2.0206178724765778,38.59
4,0.5,15.168826580047607,5.619691020199613e-05,res18,0.0038443554658442736,1.0,94.78,92.76297438957246,99.53273849785414,42.58324765151112,38.31417624521073,5.858846364905672,4.47208144833534,2.7674999088048935,2.00323224067688,38.7
5,0.5,19.472312688827515,6.326550047749567e-05,res18,0.011443616822361946,1.0,94.74,92.817304273212,99.53637278690566,42.57634016487487,39.543726235741445,5.845311944500079,4.4370179022809575,2.7776533737778664,2.0332492887973785,39.73
6,0.5,15.742630004882812,7.157375529537368e-05,res18,0.002659607445821166,1.0,94.71,92.92013486997119,99.53752135985339,43.314103098507296,38.18525519848771,5.847864611613243,4.423312899415273,2.8147198259830475,2.007056325674057,38.75
7,0.5,19.43005633354187,8.109912446746298e-05,res18,0.002097920747473836,1.0,94.68,92.89330542770105,99.53944610406063,42.229967221872116,40.41353383458647,5.846403555878429,4.405499146775845,2.876405231654644,2.0319224894046783,40.98
8,0.5,15.653695344924927,9.181575432510507e-05,res18,0.001414666068740189,1.0,94.59,93.00258592438735,99.52986924590441,46.14781584795416,38.07763401109057,5.980779776550277,4.490246813983574,2.956635504961014,2.0396700501441956,38.26
9,0.5,19.200775146484375,0.00010369455789093688,res18,0.02298242412507534,0.99996,94.68,93.0168617043242,99.54092047621748,44.410771338081844,37.96992481203007,5.829889373638215,4.388984964535631,2.8395235538482666,2.0146939158439636,38.16
10,0.5,15.637847423553467,0.00011670329382649656,res18,0.005254172254353762,1.0,94.71,93.02481218659926,99.54250277995459,43.83969175554085,37.80718336483932,5.799855410362364,4.375303698164394,2.8260571882128716,2.003708630800247,38.0
11,0.5,19.40687084197998,0.0001308066539413642,res18,0.0015379154356196523,1.0,94.64,93.11128739228624,99.5419449302901,44.77553686098774,36.940298507462686,5.840281924773856,4.377426048091206,2.932658977806568,2.008780986070633,37.13
12,0.5,15.597563982009888,0.00014596635902632492,res18,0.010323389433324337,1.0,94.6,93.31844608879493,99.55314212363552,47.504122439279186,36.2962962962963,5.752629941510755,4.267653535535607,2.9307913035154343,1.9943206012248993,36.67
13,0.5,19.085723400115967,0.000162141262750444,res18,0.00453138817101717,1.0,94.55,93.12628141995643,99.53812796628453,46.771229913651695,36.88073394495413,5.9230460441862025,4.410181124653507,2.9357634484767914,2.035723328590393,37.43
14,0.5,15.683464288711548,0.00017928746334005608,res18,0.01692790351808071,1.0,94.69,92.9512479915132,99.54349558142013,44.24447915690237,39.1713747645951,5.801789052589884,4.3663461028611,2.7745477855205536,2.013418972492218,39.36
15,0.5,19.39524531364441,0.00019735842273655216,res18,0.0017326284432783723,1.0,94.7,93.00523998326393,99.54507540411137,43.275672045188905,37.35849056603773,5.7808747493235755,4.350882698191312,2.854107692837715,2.004513293504715,37.55
16,0.5,15.635838747024536,0.0002163050929095472,res18,0.005153556354343891,0.99996,94.69,92.92783926298105,99.5387331355941,44.177721137643736,38.79472693032015,5.846617935449696,4.411174985720912,2.8227444738149643,2.0159852504730225,39.36
17,0.5,24.734715461730957,0.00023607604898258838,res18,0.004937686957418919,1.0,94.56,93.05089322372349,99.52772421833274,47.504574582537266,36.39705882352941,6.016352914103901,4.509086845638709,2.925766631960869,2.0371681451797485,36.58
18,0.5,15.87827730178833,0.0002566176288100782,res18,0.0023738271556794643,1.0,94.61,93.2386230044285,99.55219292934598,46.4097503980156,36.734693877551024,5.758136285160197,4.27870586495204,2.8961801901459694,2.004445344209671,37.29
19,0.5,19.805615186691284,0.0002778740786265729,res18,0.006253308616578579,1.0,94.68,92.67890099138849,99.5169229440263,44.17499196538098,39.097744360902254,6.059667037954593,4.618762628852008,2.78795026242733,2.0326103270053864,39.85
20,0.5,15.558363437652588,0.00029978770437313483,res18,0.00305849383585155,0.99996,94.62,93.01689245732686,99.53533104190795,45.76540307532871,36.80297397769517,5.913633471349057,4.43973846720056,2.8562111780047417,2.0183539390563965,37.36
21,0.5,20.45931339263916,0.0003222990282900119,res18,0.00213871942833066,1.0,94.61,93.05140780067923,99.53599070924032,45.891751556730334,36.36363636363637,5.912243897298807,4.43281347709065,2.9254738241434097,2.018110454082489,36.92
22,0.5,15.751409769058228,0.00034534695035062226,res18,0.0017410770524293184,1.0,94.63,93.07262766619614,99.54077829535477,45.473645513853675,37.80260707635009,5.856751094142736,4.388380937463834,2.8450068086385727,2.007054388523102,38.18
23,0.5,18.400330305099487,0.00036886891409867897,res18,0.003820562269538641,1.0,94.68,93.10418592425296,99.54962638885047,44.104121324968816,37.40601503759399,5.747231411239679,4.306327002137094,2.8716104105114937,1.9991537928581238,37.78
24,0.5,15.38834261894226,0.00039280107643834407,res18,0.0019219974055886269,1.0,94.63,93.1373509804234,99.54531708957042,45.65067014850349,37.43016759776536,5.813466983403945,4.345096826725042,2.877495437860489,2.016376256942749,37.8
25,0.5,19.426427602767944,0.00041707848091656664,res18,0.001616685651242733,1.0,94.7,93.10419198661114,99.55016574980466,45.31866484161256,36.79245283018868,5.731608641322885,4.301616590190623,2.7682438492774963,1.9937269389629364,37.36
26,0.5,17.81708598136902,0.0004416352340272854,res18,0.003669345285743475,1.0,94.6,93.07688317281341,99.53532543015751,45.301107050298064,37.22222222222222,5.92359791011283,4.438621504137682,2.962661162018776,2.0327331125736237,37.41
27,0.5,19.433496952056885,0.000466404684058972,res18,0.0032317463774234056,0.99996,94.59,93.1909951285038,99.54599688797141,46.23739761659743,36.22920517560074,5.8271701713916935,4.336637208824991,2.8855429962277412,2.009661942720413,36.41
28,0.5,16.507285118103027,0.0004913196020000876,res18,0.0021331929601728916,1.0,94.7,92.9760415213883,99.5429253488766,43.535880983752406,38.301886792452834,5.801846963138566,4.371854912006302,2.810952439904213,2.0081788301467896,38.49
29,0.5,19.387024402618408,0.0005163123640114433,res18,0.002062935847789049,1.0,94.67,92.69494646259119,99.51690297757658,43.21168289905708,36.96060037523452,6.0648618045818115,4.618485374212703,2.8124257922172546,2.0143917202949524,37.34
30,0.5,15.67367434501648,0.0005413151349701959,res18,0.0017865945119410753,1.0,94.7,92.97081150006973,99.5407468171549,43.542306301220016,37.16981132075471,5.822136288061487,4.392144236929224,2.8433285653591156,2.012307792901993,37.55
31,0.5,20.534343481063843,0.0005662600525873111,res18,0.0034772721119225025,1.0,94.68,92.97028613993791,99.54223658962549,42.60524133511975,39.473684210526315,5.818884281969218,4.377979872866634,2.8794869780540466,2.0288583636283875,39.66
32,0.5,16.415343761444092,0.000591079411598757,res18,0.0022255342919379473,1.0,94.62,93.2153481859349,99.55223213949445,45.99218909897807,37.54646840148699,5.752246585561516,4.278351581413019,2.921825647354126,2.001534104347229,37.92
33,0.5,19.95390033721924,0.0006157058475305051,res18,0.0031326774042099714,1.0,94.69,92.81759747686921,99.52911797089311,43.380905138176054,37.47645951035782,5.93826563402983,4.502822684301046,2.8418855741620064,2.0064814388751984,37.66
34,0.5,15.811088562011719,0.0006400725195385604,res18,0.0013877485180273652,1.0,94.6,93.21165139769792,99.54673434773682,46.66762439641857,36.851851851851855,5.814328502056707,4.329352096081559,2.9285853728652,2.0064175128936768,37.22
35,0.5,19.80491852760315,0.00066411329182776,res18,0.004171155393123627,1.0,94.71,92.99049191851995,99.54589397563221,43.21178231956697,38.37429111531191,5.76850761675116,4.343955904553189,2.8868863359093666,2.0054033398628235,38.75
36,0.5,16.29207158088684,0.0006877629131569354,res18,0.0025374654214829206,1.0,94.67,92.938480286315,99.53908829013987,43.716223343028496,37.89868667917448,5.85363768981212,4.407261259443013,2.818198502063751,2.019139528274536,38.46
37,0.5,19.08713412284851,0.0007109571939432262,res18,0.011417655274271965,1.0,94.66,93.07143801074771,99.53995292791264,45.28173033992729,36.329588014981276,5.848662361095642,4.396803346451648,2.8721610084176064,1.9979947805404663,36.52
38,0.5,16.678790807724,0.0007336331804848494,res18,0.0015237678308039904,1.0,94.68,93.0079774054909,99.53866760101025,43.853987198013975,35.526315789473685,5.851604863375384,4.410700454272799,2.8344642370939255,2.0022884011268616,36.47
39,0.5,19.316744089126587,0.0007557293258294543,res18,0.0017861940432339907,1.0,94.66,92.99726163656089,99.53664354135108,45.05840704317774,36.89138576779026,5.880907813877368,4.429048799233374,2.8566891327500343,2.004135102033615,37.08
40,0.5,16.34384322166443,0.0007771856568242891,res18,0.0033028877805918455,1.0,94.62,92.86039678180535,99.52198744862429,44.2818456076579,37.174721189591075,6.041237129190086,4.5673421250415895,2.856934256851673,2.0285283029079437,37.36
41,0.5,19.343436002731323,0.0007979439368947756,res18,0.002196924528107047,1.0,94.68,93.08631806067768,99.55187775033633,44.359456244080526,40.037593984962406,5.726629471928017,4.285725062825432,2.788970433175564,2.011496126651764,40.23
