epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.1,59.75735425949097,2.1655585765838623,res18,1.580128033391454,41.406666666666666,1.4057174987792969,48.47,71.7888722283998,71.97470667057672,69.07758835930004,85.87230739375121,332.3390788842915,168.07100236689354,16.07896387577057,14.057176113128662,86.01
2,0.1,7.794897794723511,1.2159883975982666,res18,1.1289266407151113,58.95777777777778,0.9570221588134765,66.46,78.24875181039755,88.27382556792365,60.93639817290326,76.65474060822898,150.7587497074982,86.89432057426622,3.5388730466365814,9.570221900939941,76.86
3,0.1,7.454993963241577,1.2409608364105225,res18,0.8847767058759928,68.33333333333333,0.9755684417724609,67.75999999999999,79.14891422726834,89.45446834226757,60.25597286935208,77.38833746898263,137.89189939304848,79.212556105621,9.479150176048279,9.755684733390808,77.79
4,0.1,7.414103269577026,1.1753900051116943,res18,0.7428764612837271,73.84888888888888,0.7347718521118164,74.78,82.80498025506063,93.78681405211205,57.57220683490536,72.52180808881839,84.91051593632105,50.03593988949774,5.571796745061874,7.3477184772491455,72.56
5,0.1,7.609360933303833,1.2779200077056885,res18,0.6521303093230183,77.2,0.567203662109375,80.74,85.0209002603385,96.0111217230293,53.15415765138315,69.26272066458982,53.75001087976415,33.88199425256983,2.820197120308876,5.672036409378052,69.47
6,0.1,7.249461889266968,1.1846911907196045,res18,0.5843704688278112,79.92888888888889,0.57644404296875,80.67999999999999,85.10412528702714,96.06494614379211,53.698151765256185,67.33954451345755,53.42289992672844,33.42629866412688,3.331252560019493,5.764440298080444,67.49
7,0.1,7.628469467163086,1.1732754707336426,res18,0.5529068548401649,80.90666666666667,0.6143159469604492,79.67999999999999,86.35741291939411,96.24535341819167,56.746492318014255,65.10826771653542,53.78503088614641,31.579404022867706,5.499432981014252,6.14315927028656,65.6
8,0.1,7.563143491744995,1.2195866107940674,res18,0.4953923610631715,82.60222222222222,0.5492285278320312,82.12,85.66784394202406,96.48212033482241,52.79114667987655,68.0648769574944,47.27821836491394,30.245251624152758,4.5018211007118225,5.492284893989563,68.23
9,0.1,7.286875009536743,1.201247215270996,res18,0.48310055067254737,83.14,0.5190331047058105,82.76,86.04738536163607,96.7676546880507,51.858819250088175,67.86542923433875,43.781387009024456,27.984272691480378,4.472604021430016,5.190331339836121,68.27
10,0.1,7.260211229324341,1.1729633808135986,res18,0.44432739689099515,84.6711111111111,0.5130353546142579,83.46000000000001,87.6345125904393,97.35212003665126,53.32397642056018,63.542926239419586,37.574185115758034,23.072127570039992,4.3297383934259415,5.130353569984436,63.6
