epoch,rate/ratio,train_time,learning_rate,model,loss,train-acc,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0,38.64539456367493,0.004260363549945495,res18,3.0891518592834473,0.14468,22.26,72.75835190030307,47.44920866913563,89.02183075970993,81.25803961924363,624.2948879507893,181.3244177661076,5.551145225763321,31.679096221923828,81.58
2,0,27.213179349899292,0.004585155564201332,res18,2.8905930519104004,0.29546,32.5,74.85760455840456,62.30566497694197,84.24926427920127,80.54814814814814,477.33861095225313,167.61589236428293,6.965199857950211,26.62492036819458,80.58
3,0,27.45568561553955,0.005038629650692794,res18,1.9803097248077393,0.39296,39.54,77.82926789070005,73.28346420582609,81.15740373822237,79.73867019517036,373.1874006454036,135.46220404972198,6.003226712346077,22.92067289352417,80.05
4,0,27.34289240837097,0.005619555098113099,res18,2.179548740386963,0.4585,45.72,79.33521770077192,78.95831035265377,79.22880306771434,76.21591746499632,302.9769670745514,117.99739055106079,7.451161742210388,20.42396306991577,76.42
5,0,27.540338277816772,0.006326355297042188,res18,1.7511049509048462,0.51004,50.29,80.39417446002885,82.18631759312412,77.2740496370953,73.5868034600684,257.88539757523034,106.46072089117153,4.213475435972214,18.338298797607422,73.73
6,0,27.475279808044434,0.007157112018804299,res18,1.6518096923828125,0.54812,51.66,80.76245961348437,83.41189890988984,76.8981465678877,72.81754240794373,243.4110788839854,101.21835225630244,8.78867506980896,18.2774019241333,72.98
7,0,27.349665641784668,0.008109570621467055,res18,1.3252967596054077,0.57954,53.75,81.63265367693275,85.16758210882999,76.47740969399977,71.45945945945947,221.7764264158498,92.9706803677714,6.705599278211594,17.06609606742859,71.81
8,0,27.59472918510437,0.009181146168853488,res18,1.5857231616973877,0.60086,54.19,81.11773240877669,85.07401502030403,75.51232979425907,72.82252783235101,220.5593336380972,94.46726391271332,9.229173511266708,16.921793222427368,73.08
9,0,27.363028287887573,0.010368930445959698,res18,1.2958217859268188,0.62398,56.87,81.525956975511,86.44856254633535,74.35139132501108,71.27289589612799,198.98266407479625,88.65820924427436,8.494948595762253,15.82228422164917,71.41
10,0,27.267221689224243,0.011669699851739115,res18,1.4191561937332153,0.6415,56.43,82.09882915257208,86.77252302974968,74.83449595548934,71.93022722056462,198.76685609349187,85.9419661296661,9.280014783143997,16.197091341018677,72.18
11,0,28.0785071849823,0.013079924147832253,res18,1.035436749458313,0.65634,58.58,82.90701437316012,88.273536225061,74.4072582576184,69.48334138097538,179.15709450111714,78.22937006106271,7.427281886339188,15.20412564277649,69.92
12,0,27.267359256744385,0.014595776039498423,res18,1.245848298072815,0.66978,59.1,82.0765330818016,87.7899674155643,72.9941201314756,72.32273838630807,180.272401674711,82.10250526615,9.48917269706726,15.109080076217651,72.59
13,0,27.371679306030273,0.01621314156274721,res18,1.0749537944793701,0.68404,59.66,83.12324416113721,88.97912697351107,73.82443991774734,69.43480416460089,169.9174994611154,74.6664150185437,8.718311786651611,14.590537548065186,69.51
14,0,27.819918870925903,0.017927631249479076,res18,1.1041862964630127,0.69988,60.73,82.48434262856827,88.75063573772634,72.23196358685428,70.1807995925643,166.9847463386432,77.1649183311815,9.614438563585281,14.46039080619812,70.72
15,0,18.272209882736206,0.019734592040333843,res18,0.97285395860672,0.7077,60.55,82.17753817718652,88.43819186528393,72.24666942098538,71.02661596958175,169.9054476456108,79.18523117694434,9.746421128511429,14.84828233718872,71.13
16,0,27.54221820831299,0.021629119912915468,res18,0.9810925722122192,0.71318,58.98,80.88344948803807,86.96112182859784,71.29158921323562,73.62262311067772,186.76051394942218,87.95827132746908,12.436573207378387,15.802117586135864,74.43
17,0,27.174347400665283,0.02360607319112122,res18,1.114657998085022,0.72342,59.35,82.45425483740938,88.45167855798294,72.14707131850446,72.69372693726937,175.0213256876912,78.16099722507907,10.248909145593643,15.120575428009033,73.14
18,0,27.418084383010864,0.025660086499453616,res18,0.8940070271492004,0.73576,61.72,82.78466357318011,89.43536199154816,71.7710883312887,70.5851619644723,158.4155441415434,73.45290836350406,9.9907785654068,14.418303966522217,71.0
19,0,27.214247941970825,0.027785585324444112,res18,1.0503360033035278,0.7377,62.17,83.06324854922067,89.89960814687262,71.39524256038565,70.84324610097806,153.50840814234843,70.70093707069411,8.265858143568039,13.982086181640625,70.98
20,0,27.121079683303833,0.029976801143669227,res18,1.1071536540985107,0.75138,59.29,81.9852057585216,87.7968379202299,72.92233515627527,70.59690493736183,179.44367511175292,82.27001242233337,11.733187735080719,15.893490314483643,70.72
21,0,27.22827458381653,0.0322277870812995,res18,0.9842371940612793,0.75094,63.58,83.46543609999657,90.44032961705743,71.51820833577926,68.31411312465679,144.0322214525568,67.76774980791222,8.56865793466568,13.70430588722229,68.64
22,0,27.46404767036438,0.03453243404769275,res18,0.9163755178451538,0.75576,63.19,82.43121233621031,89.5210658077507,70.01800777317706,70.17114914425427,152.02737459516771,73.9847193107712,8.29743891954422,13.92324686050415,70.31
23,0,27.418912887573242,0.0368844873192295,res18,0.8624645471572876,0.75836,63.33,82.31527851716336,89.71722089414706,69.98292805506546,71.99345514044178,150.38159018491524,72.98001894157643,9.503555297851562,14.234956502914429,72.1
24,0,27.27255606651306,0.03927756351339334,res18,0.7904378771781921,0.76076,61.49,83.31580855057089,89.66750198114029,72.37389875184496,69.5403791223059,157.57106085106528,71.49424129243151,10.303253680467606,14.52290654182434,69.88
25,0,27.333429098129272,0.04170516791302666,res18,0.6437358260154724,0.75928,58.14,83.22168214818639,88.37862829546849,74.84250843719009,69.78021978021978,180.3486619799494,77.05135348441944,11.032552272081375,16.15231990814209,70.21
26,0,28.87005615234375,0.0441607120927443,res18,0.7783317565917969,0.76342,62.21,84.07514705226163,90.55776796891045,73.37261985120836,67.84863720560995,148.54855367066844,65.93107299425793,9.735272824764252,13.983036279678345,67.95
27,0,29.134970664978027,0.046637531799667856,res18,0.7267659306526184,0.76116,60.98,82.61422353397833,89.03945604808423,71.78674900309312,71.78370066632496,164.1023569157201,75.52422116790389,11.53983324766159,14.738893508911133,72.07
28,0,27.269875049591064,0.04912890503995268,res18,0.8161211013793945,0.76484,60.06,82.69126758736174,88.60140960220102,72.94678965025614,70.33049574361542,170.67760924412397,77.47917897792803,11.864947527647018,15.450921058654785,70.38
29,0,27.188170433044434,0.0516280703220219,res18,1.051030158996582,0.7621,59.54,81.61165284149978,87.66917381055224,71.87878332104802,71.97231833910035,179.40706769182233,83.53496551225683,12.823674082756042,15.804440975189209,72.15
30,0,24.43679451942444,0.05412824500699557,res18,0.8541833162307739,0.76724,60.06,82.79782310828881,88.97958522771448,72.41407622385327,71.70756134201301,168.4252775906529,75.22684732445694,10.682296752929688,15.275355577468872,71.98
31,0,20.315388679504395,0.05662264371651296,res18,0.8917598724365234,0.77016,62.13,82.45193908646874,89.5616496102034,69.90931294726639,72.85450224452073,156.20796982568083,73.21025099991022,11.980866640806198,14.672679901123047,72.99
32,0,27.27573323249817,0.0591044967479895,res18,0.7270603775978088,0.77036,60.88,82.54653250284176,88.86740995603664,72.00016076124449,71.75357873210633,165.62662726369643,76.55304688191805,11.969631910324097,15.273438692092896,71.96
33,0,27.216275930404663,0.0615670684473305,res18,0.8441678285598755,0.76976,60.7,83.16396703430294,89.39692864960027,72.81616326896396,70.35623409669212,162.75368393147008,72.78416210051178,13.313743472099304,15.601285696029663,70.53
34,0,27.251604557037354,0.06400367548923833,res18,1.0056636333465576,0.76802,60.13,82.69426150538894,88.73784295459036,72.50343490878153,70.6546275395034,169.55698552845107,76.71502578163708,12.430188059806824,15.387721061706543,71.13
35,0,27.471873998641968,0.06640770501550144,res18,0.821698784828186,0.76494,61.46,82.547417781231,89.09919532237807,71.77724896420811,70.49818370524132,161.72237746007488,75.4995960190985,11.123839020729065,14.606411457061768,70.65
36,0,27.53767681121826,0.06877263258203833,res18,0.8832448720932007,0.7698,57.58,82.29646340806363,87.32080631573118,74.33074883532693,71.33427628477133,189.8779298177245,83.51659370070314,13.655048608779907,16.645057201385498,71.36
37,0,27.50640892982483,0.07109203986598892,res18,0.8844249844551086,0.77418,61.37,83.3312671564216,89.69289554605855,71.84344792592243,70.74812322029511,157.94418803091477,71.28264203650933,10.648409277200699,14.677704572677612,70.8
38,0,35.855225563049316,0.07335963208479702,res18,0.8477760553359985,0.76784,61.4,82.99992616158377,89.59774803855896,72.09814457648913,71.52849740932643,158.65549684803946,72.1403522607261,12.693312764167786,15.249392986297607,71.79
39,0,31.281431198120117,0.07556925508000929,res18,0.9577205777168274,0.77274,58.24,81.23326345140731,86.13097539806554,72.70156056429084,71.69540229885058,194.55701266648643,91.80116096132888,16.085025668144226,17.85978674888611,71.86
40,0,27.871410131454468,0.07771491201942543,res18,0.7699130177497864,0.77114,59.95,82.8371458112722,88.79374753605607,73.48510640059641,69.68789013732834,169.90327628428778,76.14302934077136,12.529191374778748,15.707180500030518,69.81
41,0,27.586647748947144,0.07979077967227129,res18,0.6247187852859497,0.77082,58.22,83.25559493635917,88.26781331152421,74.80779954741831,70.65581617999042,180.55250001972217,77.68849441355374,14.581216871738434,16.413445472717285,70.78
42,0,27.39185881614685,0.0817912242132241,res18,0.650615394115448,0.77216,59.36,81.94001891236178,87.8344899072562,72.49766485512691,71.57972440944881,178.98801843687716,82.17985335663161,12.543047964572906,16.428486108779907,71.65
43,0,27.37160015106201,0.08371081651239887,res18,0.9628790020942688,0.77384,56.35,81.52800316301628,86.24665452411094,74.357226962084,71.56930126002291,202.66461537026925,89.38142266081871,17.49822348356247,18.073675632476807,72.07
44,0,27.27426838874817,0.08554434686979873,res18,0.9959920048713684,0.77226,59.09,82.18130813880975,87.89241786234166,72.88066984010591,70.22732828159374,179.6442664592561,81.42176766382333,13.11694085597992,16.039143800735474,70.35
45,0,27.34058690071106,0.08728683915424151,res18,0.733364462852478,0.77352,62.26,83.7615893893175,90.00447303613042,73.555698492528,65.76576576576578,151.85232858503727,69.47197424384139,8.90340730547905,13.88109564781189,65.92
46,0,21.809577226638794,0.08893356430838904,res18,0.8240086436271667,0.77666,58.76,81.75630092721285,87.37198644925583,72.86654496641785,70.87778855480117,184.53608745667697,84.56819871606395,14.004915952682495,16.85382604598999,70.95
47,0,28.57561683654785,0.09048005318322774,res18,0.8899879455566406,0.77486,57.57,80.61672535389293,85.82440144009308,72.66281453881514,71.93023803912327,200.05134622153386,93.63480193035866,15.802928805351257,18.010425567626953,72.19
48,0,33.95970368385315,0.09192210866716799,res18,0.8763152360916138,0.77618,54.61,81.40773210539078,85.63962176430778,75.10130810571071,72.98964529632077,215.0160018741409,91.48092791504317,16.155940294265747,19.152392148971558,73.14
49,0,37.83071708679199,0.09325581707684415,res18,0.6422179341316223,0.77434,60.92,83.11642582415921,89.2434087466629,72.61580936807779,69.65199590583418,162.71247507813706,73.83726950805766,11.543720960617065,15.595121383666992,69.96
50,0,36.114397048950195,0.0944775587787014,res18,0.7509517669677734,0.7744,61.67,82.91296838397957,89.52542042737682,72.42708007732718,69.5799634750848,157.96050255786255,72.75638311832085,12.817886471748352,15.139211416244507,69.71
51,0,29.537025690078735,0.09558401801254267,res18,0.6583541631698608,0.7757,59.57,82.80752973189713,88.52116336511719,73.25226212379947,69.89859015582488,173.24250682255095,77.52588562535387,11.98500245809555,15.995222330093384,70.1
52,0,37.65717077255249,0.09657219189037476,res18,0.763092577457428,0.77754,59.23,82.46078330645956,88.22265163806054,73.3432094294437,72.01373558989454,176.83357983053102,79.3459757291776,11.760316789150238,15.863497257232666,72.26
53,0,34.44366240501404,0.09743939854613144,res18,1.0786739587783813,0.7754,57.39,82.19035311330362,86.82829440701416,75.17526102713967,69.06829382773996,193.62613068986553,86.21286603860753,13.631360232830048,17.378990650177002,69.19
54,0,32.72812747955322,0.09818328441415522,res18,0.7557733654975891,0.77786,59.01,82.3558835446988,87.95832561108767,73.57746106856821,70.35862405464748,179.46004893877617,80.81612156748632,12.971696257591248,16.28235101699829,70.43
55,0,30.152637481689453,0.09880183061668445,res18,0.9520265460014343,0.77974,60.74,82.01091068870247,88.4484409189654,71.16854103358115,71.34488028527764,169.15313530402258,79.38317230145742,12.996470928192139,15.486863851547241,71.55
56,0,37.71092247962952,0.0992933584430102,res18,0.7979196906089783,0.77844,61.07,83.50818696849417,89.36704432486626,73.98175395535584,67.12047264320576,160.96127720516807,72.82763945165449,12.71032840013504,15.329211950302124,67.17
57,0,33.72950983047485,0.09965653390543296,res18,0.894189178943634,0.78052,58.92,81.6438467884432,87.6999012592784,71.77581988342081,72.83349561830575,182.0915513900762,82.97222040682179,13.165198266506195,16.180145740509033,72.98
58,0,27.56126117706299,0.09989037135965406,res18,0.8354158401489258,0.78096,57.82,80.00819731417413,85.21610939276317,71.62101965597927,73.66050260787102,202.97568562092513,97.93414246394231,15.934748947620392,17.57388710975647,73.87
59,0,32.59412717819214,0.09999423617977664,res18,1.1929162740707397,0.78182,61.11,82.43032946796933,88.87277979061847,71.68014813786652,70.22370789406017,164.65993304462268,76.72342409798505,12.50496655702591,15.495911836624146,70.46
60,0,36.912089586257935,0.09999384816441206,res18,0.6389831304550171,0.78054,58.49,83.14061555325611,88.350825088005,74.32150745627972,69.81450252951096,178.91410212108244,77.50438680432592,13.974203169345856,16.933234930038452,70.01
61,0,29.420002460479736,0.09996387556040721,res18,0.8711339831352234,0.783,57.96,83.05554488511714,87.96037767922085,75.03098236717977,67.88772597526166,183.7202565737571,79.44398949699652,14.428794384002686,17.478801012039185,68.15
62,0,37.49060034751892,0.09990899443851561,res18,0.5912468433380127,0.78322,59.41,82.12108232388961,88.08769535898207,72.34153462538279,70.11579206701158,177.10947538830155,80.5618745812057,13.02824318408966,15.939915180206299,70.26
63,0,37.64389967918396,0.09982923215876213,res18,0.7378478050231934,0.78572,58.61,81.0885580373111,87.09357908902986,71.96327127795843,73.73761778207296,187.51847056625408,86.75110237465961,15.658847987651825,16.959917545318604,73.88
64,0,37.296711444854736,0.09972462848523836,res18,0.7020710706710815,0.78442,59.53,82.13234748715858,87.96569318029515,72.71481156313862,69.43414875216209,177.25206317920782,81.32810041841631,14.441598951816559,16.53187870979309,69.58
65,0,29.80035138130188,0.09959523556627894,res18,0.5379230976104736,0.78548,60.64,82.63800415822018,88.9226946298158,72.06089534053272,71.29065040650406,166.26931771347506,75.99996335164552,12.960897386074066,16.02204203605652,71.42
66,0,34.42566275596619,0.09944111790846394,res18,0.8151297569274902,0.78624,60.82,82.66607848261944,88.91845896454751,72.19974037268105,70.90352220520674,165.46710640336164,76.09547097734404,13.784202933311462,15.752978324890137,70.93
67,0,37.78728175163269,0.09926235234446013,res18,0.878022313117981,0.78776,56.88,81.02138546730544,85.95692528343773,73.62844364224418,71.77643784786642,202.18728776265706,91.91926436313571,15.52756279706955,17.684937715530396,72.08
68,0,36.40264892578125,0.09905902799471748,res18,0.8187570571899414,0.79164,62.48,82.31907557966524,89.2654789945228,70.60729967986165,72.22814498933901,156.59610406596562,75.2543396152873,13.263458013534546,14.777435064315796,72.49
69,0,31.01133418083191,0.09883124622303972,res18,0.8446041941642761,0.78846,60.1,82.07356994816492,88.23863454724219,72.2173785937569,72.25563909774436,173.15852027025602,80.16388728286061,15.029075741767883,16.284329891204834,72.48
70,0,30.87555742263794,0.09857912058605114,res18,0.811811089515686,0.788,60.74,83.25585104143481,89.34288714034071,73.10578218917057,70.65715741212429,162.80904027437248,73.0390772718073,13.080662488937378,15.428626537322998,70.96
71,0,32.024656534194946,0.09830277677658496,res18,0.8052582740783691,0.79434,60.58,82.49656751185354,88.59533868524815,71.99826741309514,69.73617453069508,168.57115636513487,78.00137580479111,14.145560562610626,16.308448314666748,69.94
72,0,35.19429564476013,0.09800235256102133,res18,0.6761451363563538,0.79104,60.93,83.12590938062623,89.24076467486624,73.06972079353044,68.1085231635526,162.75299716150786,73.92734425018843,12.858480215072632,15.655245780944824,68.36
73,0,33.50729250907898,0.09767799771060628,res18,1.0488617420196533,0.7909,61.55,83.21108469015115,89.50944848361485,72.83761566152423,67.95838751625489,158.31352583613327,72.52819101775384,13.037413358688354,14.940701723098755,68.19
74,0,37.95789980888367,0.09732987392678603,res18,0.8269349932670593,0.7898,59.8,81.61316952029154,87.63329220029745,71.918610590158,72.68656716417911,178.45988730741914,83.9302732762593,14.529550075531006,16.491423845291138,73.11
75,0,34.24431109428406,0.09695815476059334,res18,0.6874536871910095,0.79128,62.41,83.30049434527032,89.89351178384676,71.65931412289164,69.88560787443468,152.32248038213777,70.65109708313719,11.725535243749619,14.561464786529541,70.23
76,0,29.901515007019043,0.09656302552612683,res18,0.7341108918190002,0.79328,60.78,82.39375665221742,88.63492134319249,72.25531650018485,69.17389087200408,167.5265359962683,77.95586840423054,13.35231363773346,15.786551237106323,69.38
77,0,37.78456974029541,0.09614468320816583,res18,0.8359354138374329,0.79596,59.63,81.75170798738203,87.7889828095191,71.83155156163765,73.89150359177607,178.1853392834787,82.77922687876837,14.687468111515045,16.462280750274658,73.99
78,0,32.78992533683777,0.09570333636396702,res18,0.6452640891075134,0.79642,62.45,83.27792886772801,90.01719077967833,71.88461658473426,70.19973368841545,151.4284414791462,69.94550788975334,12.141120433807373,14.847584962844849,70.39
79,0,31.031044006347656,0.09523920501929195,res18,0.670849621295929,0.79412,59.64,82.10898401642096,88.08465083035694,72.4555791589369,72.96828543111992,176.11220326776046,80.75778361676308,14.321444928646088,16.63039207458496,73.02
80,0,37.6694610118866,0.09475252055871689,res18,0.49623769521713257,0.79708,62.39,83.57252982212268,90.25871373276566,71.83771713985081,69.39643711778783,149.9813260453739,68.21562176339468,12.003624439239502,15.048820972442627,69.64
81,0,37.4480357170105,0.09424352561028024,res18,0.6854279637336731,0.79958,62.8,83.00426768714472,89.69129614924222,71.1784135362408,71.18279569892472,152.12656669148598,72.28165735023926,12.72105872631073,14.789315462112427,71.37
82,0,37.0115442276001,0.09371247392452449,res18,0.6928491592407227,0.79538,63.57,83.24847914707615,90.4809086668172,70.44641821820208,72.02854790008234,144.01495528020848,67.70518864799283,11.71988695859909,14.374685287475586,72.25
83,0,30.43702459335327,0.09315963024799327,res18,1.0245158672332764,0.80162,61.54,83.11388987896208,89.55380606124551,72.14040366395568,68.92875715028602,158.19973920885795,72.36586423322593,13.31140398979187,15.637545585632324,69.11
84,0,28.993923664093018,0.0925852701912467,res18,0.6702512502670288,0.79848,62.37,83.47569268820043,90.16188501799243,71.39860901736917,70.71485516874833,150.7446173818199,68.88452800402243,12.893608212471008,14.740009307861328,71.11
85,0,24.069037914276123,0.09198968009146045,res18,0.49813976883888245,0.80094,62.69,83.25458550258087,90.09440601895432,70.96076457063072,70.08844813722862,149.9795485768584,69.62193867307653,12.88551539182663,14.86478567123413,70.25
86,0,34.5757372379303,0.09137315686967744,res18,0.5657342076301575,0.80272,60.88,81.4355875247562,87.47712532222451,71.09279851647436,71.16564417177914,174.7951268157322,85.72154643395383,13.513608276844025,15.776704549789429,71.34
87,0,36.70354127883911,0.0907360078827829,res18,0.758354902267456,0.80204,60.25,82.96845533547327,88.88506816449402,73.22606133865746,70.84276729559748,167.93894492577408,75.70618213021355,13.178199529647827,15.828241109848022,71.07
