epoch,rate/ratio,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.3,30.8670916557312,0.0009801263256617632,resnet18,0.9006682746112347,76.39,85.72969722958587,94.92907159771961,63.16971534015765,62.81236764083016,71.37127975299934,41.00359667836065,15.67392349243164,12.235108613967896,63.15
2,0.3,15.661703109741211,0.0009540803491402223,resnet18,1.0158217516210344,77.38,86.62333097721375,95.47780247052381,64.70446624823938,60.43324491600354,64.61560690917779,36.85030015980531,16.777226328849792,11.80517315864563,60.57
3,0.3,15.530657529830933,0.0009061430238499538,resnet18,0.9282507286185311,77.71,86.54189267836688,95.51332180301858,64.03381280014675,59.53342305966801,63.61797301270471,36.69189760429421,17.99459010362625,11.804850101470947,59.58
4,0.3,14.563403367996216,0.0008430028154259809,resnet18,1.1873415970802308,77.76,86.45990036674365,95.47723473787319,63.516155687542266,61.28597122302158,63.81462931871275,37.01448620871457,17.137545347213745,11.575292348861694,61.42
5,0.3,14.066245555877686,0.0007736653273448765,resnet18,1.0991765239100526,78.07,86.47911531450927,95.58750808098729,63.25229472030769,61.7875056999544,62.2554335023948,36.22890269808957,18.475806713104248,11.711515188217163,61.83
6,0.3,13.854001522064209,0.0006994690867941824,resnet18,1.3546469374136494,77.88,86.46001963423117,95.51603441920226,62.97813696011486,60.53345388788427,63.23160714404233,36.732390215053535,19.10845637321472,11.892879009246826,60.71
7,0.3,13.732886552810669,0.0006153076766913677,resnet18,1.1824075851175522,77.99,86.3967345386549,95.53884336892466,63.00658238808682,60.972285324852336,62.82884529217649,36.603852998545975,19.220508635044098,11.893905401229858,61.15
8,0.3,13.356596946716309,0.0005378471885447357,resnet18,0.9802798879319343,77.79,86.96126486999395,95.67497757124808,65.47464419669757,59.5227375056281,62.08654746422801,35.36180939905098,18.883956968784332,11.837576627731323,59.75
9,0.3,13.29287576675415,0.0004594670886679199,resnet18,1.171001250214047,77.84,86.72643435019907,95.5956285903661,63.914084735788876,59.792418772563174,62.64701376669962,36.04769369578964,18.64641159772873,11.811903715133667,60.06
10,0.3,13.521881818771362,0.0003728245724495548,resnet18,1.0652805760375457,77.78,86.77511393463851,95.60083710418988,64.62016012515505,60.3060306030603,62.72669123161603,35.97683100882521,19.472144544124603,11.976325511932373,60.49
11,0.3,13.438945531845093,0.0002940360998740207,resnet18,1.3682165736691994,77.97,86.6366569867445,95.61140374594547,63.3978280974419,60.59918293236496,62.261387579916914,35.98665172525147,19.255951046943665,11.896359920501709,60.96
12,0.3,13.115362167358398,0.00023019597035528784,resnet18,1.3461969178734405,78.17,86.50382070719752,95.61836280740262,62.61104813424914,61.10856619331195,61.797336319855006,36.01772966380472,20.150841772556305,12.019027471542358,61.7
