epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,55.555426597595215,7.28877067565918,res50,4.513132062493538,3.884,4.537445275878906,4.83,68.05153728394063,12.059244907711413,97.21914371428414,88.85152884312284,914.7112960591513,109.3759316541818,3.8926981389522552,45.37445545196533,0.0
2,0.5,13.716915607452393,4.0567357540130615,res50,4.062744387558529,6.84,3.9811153686523437,7.670000000000001,68.34249519642923,16.190307838504545,95.63990084749682,86.81901873713852,871.4391767989129,145.09354566461752,2.292603813111782,39.811153411865234,0.0
3,0.5,13.894036769866943,3.4625275135040283,res50,3.9086478510681464,8.096,3.879342138671875,8.25,66.31350672941953,18.759194209659487,94.99764230561763,86.6049046321526,861.6314778155298,149.9654291309538,5.460303649306297,38.793418407440186,86.83
4,0.5,13.216389179229736,3.598620891571045,res50,3.772134621532596,9.719999999999999,3.798664929199219,10.67,69.32139091063317,22.313034786683875,94.21310875329954,85.9397738721594,822.3773760931986,167.84360676916032,5.958154052495956,37.986652851104736,85.98
5,0.5,19.551240921020508,3.5426909923553467,res50,3.6544430401860453,11.24,3.5899869262695314,12.06,65.9246787818168,20.131219315945604,92.70552848190205,87.87809870366159,821.511277055746,197.21356201524577,4.962429031729698,35.89986801147461,0.0
6,0.5,14.277406215667725,3.469963550567627,res50,3.543177839444608,12.416,3.5151705627441405,12.809999999999999,64.3238151464956,21.872404081944723,91.82558186316514,86.85629085904347,810.7584281698552,202.09676354703254,6.528560817241669,35.151708126068115,87.07
7,0.5,13.877720594406128,9.218802690505981,res50,3.429741224464105,13.744,3.3750037963867188,14.82,65.0481840630257,25.25898270671555,90.5743690398054,87.90795961493309,780.4785133547624,211.62085165376865,5.404424667358398,33.750035762786865,87.93
8,0.5,13.54458475112915,3.507483959197998,res50,3.327639287831832,14.44,3.1607693115234374,17.98,64.14291232041671,29.262550146611765,87.97650677828219,88.41745915630334,740.8684884399042,229.1891346585463,3.3039644360542297,31.607694625854492,88.47
9,0.5,13.415871858596802,3.4624481201171875,res50,3.2194413396776937,15.920000000000002,3.1397192810058594,19.23,65.33105920002555,30.28862452967114,87.61323160803481,88.37439643431966,725.954116069803,235.29886192410072,5.192448198795319,31.39719247817993,88.55
10,0.5,23.568424940109253,3.8439385890960693,res50,3.1325295044451344,17.363999999999997,3.0389027099609374,21.33,67.37598605889963,34.65925868206997,87.65117136020402,83.37358586500572,688.644284652954,231.5046555455347,4.151393845677376,30.38902759552002,83.53
