epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,18.481443166732788,1.1682467460632324,wrn,4.525548550547386,1.8880000000000001,4.585550061035156,1.26,80.51126736563236,7.298300080331943,99.61064992676523,78.05347376949564,968.1580586727383,35.8711953320493,0.08717495948076248,45.85549831390381,0.0
2,0.5,6.425157308578491,1.0871567726135254,wrn,4.410824452127729,2.7199999999999998,4.593709533691406,1.25,74.83021772151899,5.395599146333678,99.45440791620135,86.08607594936709,972.0064394764287,39.28177240985209,0.982146430760622,45.93709468841553,0.0
3,0.5,6.436467885971069,1.1168549060821533,wrn,4.29721966081736,3.656,4.759125805664063,2.1999999999999997,64.80024168060979,7.4945797500688345,98.66515723938033,85.8997955010225,958.6396631753292,64.60734533905332,3.9448585361242294,47.591257095336914,86.06
4,0.5,6.882725238800049,1.0938258171081543,wrn,4.154094119461215,5.468,5.328733227539063,2.18,65.11355813617598,15.910996208565486,98.62282422393505,87.43610713555509,952.8792298134645,58.08265755374331,8.30954685807228,53.28732967376709,88.99
5,0.5,6.251147985458374,1.1442484855651855,wrn,4.022408740861075,7.468,4.4054662109375,5.0200000000000005,72.8342683173392,21.359245874279758,97.59121510766211,81.9330385344283,892.4359880941053,92.8213487587849,3.0523747205734253,44.05466079711914,82.31
6,0.5,6.278826475143433,1.1119351387023926,wrn,3.8969833242649936,8.64,4.512918591308594,5.18,68.51420981351374,19.399200803045392,96.97908577807391,88.51508120649652,898.0534379360117,103.2003516553367,7.5410038232803345,45.12918949127197,89.04
7,0.5,6.131372451782227,1.122067928314209,wrn,3.7914831346395066,10.192,4.101840563964844,8.780000000000001,68.80441611783374,21.64479660865331,95.01080426495886,88.84016663012497,846.8331088307342,148.22362256907985,6.836514919996262,41.018404960632324,89.74
8,0.5,7.117989540100098,1.052964687347412,wrn,3.6968052070968005,11.251999999999999,3.8738497314453126,10.99,72.56008592750976,32.425013487711574,94.7698349088008,82.40647118301314,789.2334215734959,141.81288906472034,6.533528119325638,38.73850107192993,82.45
9,0.5,6.9021759033203125,1.0675184726715088,wrn,3.600306987762451,12.740000000000002,3.7238277709960936,11.97,72.82660530686024,34.86419644941308,94.23198255554946,84.19856866977167,771.1645359868395,144.9597059570993,4.940969496965408,37.23827838897705,0.0
10,0.5,6.091004848480225,1.1179382801055908,wrn,3.4885231147007065,13.932,3.8396992919921873,11.379999999999999,69.65335297447008,29.230198470177925,93.75079612724704,85.9286842699165,797.0979355800154,158.2209273596068,10.704436898231506,38.39698791503906,86.09
11,0.5,6.0168678760528564,1.1088261604309082,wrn,3.3817225962269064,15.903999999999998,3.795566809082031,11.99,69.72872235024471,31.795957376220617,93.64924969850155,84.51312350869219,783.6568557410186,157.87641205316393,10.752463340759277,37.9556679725647,84.58
12,0.5,6.659518003463745,1.0859136581420898,wrn,3.2669112390401414,17.471999999999998,3.5140978149414064,14.69,70.42450953113057,36.63671148047924,92.15702691547696,85.37099988278045,739.3498695110504,168.00453897440914,10.768020153045654,35.140976905822754,85.54
13,0.5,6.27778697013855,1.050445556640625,wrn,3.1381344539778575,19.808,3.8817966430664064,14.399999999999999,70.86696845794393,31.434239349810788,92.51545473841169,83.80841121495327,754.4988438272264,177.5624888617101,14.345154166221619,38.8179612159729,84.38
14,0.5,6.358853101730347,1.0705559253692627,wrn,3.005119883284277,22.344,3.3139101440429686,20.48,74.39371949470258,50.965176991406636,90.08314490739303,83.36267605633803,628.8107186022125,158.36645841748992,9.4876728951931,33.13910245895386,83.36
15,0.5,6.135847091674805,1.1963121891021729,wrn,2.869607007016941,24.535999999999998,3.1197324157714843,22.56,71.98574691547975,47.3654046247033,88.53871390198613,81.2370867768595,623.8516183188268,185.36815923004428,9.248153865337372,31.1973237991333,81.33
16,0.5,6.223531246185303,1.04905366897583,wrn,2.725485689786016,27.064,3.2937282531738283,22.42,72.40342851176732,47.0382439962698,88.6531183062212,81.87677236401134,624.4933168165608,183.92091627930284,13.097052276134491,32.937281131744385,82.25
17,0.5,6.522575616836548,1.1138203144073486,wrn,2.592105659903312,29.536,2.9567036682128904,27.05,74.70447816408829,57.3254674632588,87.01800809437516,80.26045236463331,542.7433393625158,166.9175397406758,11.87954768538475,29.567034244537354,80.74
18,0.5,6.452585458755493,1.0968172550201416,wrn,2.4801215383471273,31.807999999999996,2.765388812255859,30.43,74.71456863959071,61.4814431837829,84.7532976995575,81.05505246514302,497.9718125591434,164.31006643784758,12.543950974941254,27.653889656066895,81.26
19,0.5,6.444077730178833,1.0414304733276367,wrn,2.366129158710947,34.332,2.5490100830078126,34.62,75.2042363897043,66.55053457853015,82.23138116555269,82.07402875497094,443.11152973760073,156.53924560389842,9.113655239343643,25.490100383758545,82.1
20,0.5,6.296289920806885,1.11911940574646,wrn,2.2746266084057942,35.892,3.217339776611328,26.179999999999996,75.21096108697908,58.036673043476796,87.66791507045937,80.28989433757789,547.4745278188103,160.13219241636955,15.985478460788727,32.17339754104614,80.47
21,0.5,6.437282085418701,1.1294851303100586,wrn,2.1654330625825997,38.108,2.911992840576172,30.769999999999996,74.31309378322888,61.737190480096736,84.70998919998772,80.18200202224469,495.1725927678004,165.53704273827952,15.822863578796387,29.119930267333984,80.31
22,0.5,6.188564300537109,1.0963330268859863,wrn,2.071775426061786,40.12,2.5476513793945315,34.23,76.88536806018156,67.7104606459091,83.99192945585925,79.12422076934773,438.629271060614,147.89805621917895,11.848433315753937,25.47651767730713,79.69
23,0.5,6.764344692230225,1.0809450149536133,wrn,1.9810708712558358,42.516,2.362995300292969,39.269999999999996,77.22556112246254,72.54789993183795,81.29232486385504,77.32586859871563,379.4245094703287,139.18485841259132,11.981647461652756,23.629956245422363,77.44
24,0.5,6.555469512939453,1.1560134887695312,wrn,1.8894723897077599,44.36,2.4648381958007812,38.65,75.17291725313689,68.31933515066689,80.43448235649967,80.84759576202119,405.3715129016663,159.28746123564247,15.914666652679443,24.648380279541016,80.86
25,0.5,6.527346611022949,1.2220587730407715,wrn,1.8207857700026766,45.856,2.275273449707031,41.47,77.0033965751458,73.47361130202597,80.2617687829466,78.06253203485393,360.0479090675598,139.76681246190842,12.813518941402435,22.75273561477661,78.15
26,0.5,6.777599573135376,1.078272819519043,wrn,1.7479189372792536,48.052,2.292555859375,42.91,76.93090007114655,73.92832312119847,78.89708958853117,78.857943597828,348.2441917205137,140.3908063656305,13.232538104057312,22.92555809020996,79.0
27,0.5,6.6725921630859375,1.1443541049957275,wrn,1.6643739342689514,50.160000000000004,2.41512333984375,40.94,76.49213802429233,72.31515107210026,79.99022071850696,78.36098882492381,369.69101253864653,144.71084333472217,14.12476897239685,24.15123224258423,78.48
28,0.5,6.392687559127808,1.0680325031280518,wrn,1.6150890497528776,51.0,2.0812474609375,46.48,78.7347801680778,78.4884689397157,78.31901046261402,75.50448430493275,301.22743393190626,122.1330584688799,10.606271773576736,20.81247568130493,75.62
29,0.5,6.889856815338135,1.1611194610595703,wrn,1.5519215038844518,52.732,2.311015734863281,43.39,77.19350859882019,73.99700471659196,79.26166571080606,76.1879526585409,344.4125371741582,140.59351785671953,16.069838404655457,23.11016082763672,76.81
30,0.5,5.962311267852783,1.203441858291626,wrn,1.4864578703228308,54.51200000000001,2.1193467529296877,45.6,78.08189821981425,77.58495988016205,77.8000722241832,78.65808823529412,312.0103922270646,126.09007830435898,13.99000734090805,21.19346857070923,78.92
31,0.5,7.113158464431763,1.047182321548462,wrn,1.4552688525647532,55.552,2.3253934509277343,42.93,77.32604994965133,74.78839398451633,79.00334510169591,78.09707376905554,343.60694305060923,135.92272415118063,17.387664318084717,23.253934383392334,78.17
32,0.5,5.823345899581909,1.0874435901641846,wrn,1.4065592197739347,56.632000000000005,2.0208189331054687,49.19,79.14783555796383,80.37050690848936,77.0335303172639,74.9655579610313,275.0416453047208,115.93477623017745,13.345634937286377,20.208189487457275,75.0
33,0.5,6.6962878704071045,1.0691027641296387,wrn,1.362856849115722,57.66,2.3881549926757812,45.2,76.03030731218914,74.31625064324608,76.72310218786389,80.52919708029196,333.12657795345194,144.0476187692094,19.8598250746727,23.881549835205078,80.57
34,0.5,5.784052133560181,1.122377634048462,wrn,1.334021804892287,58.36,2.0471241638183595,47.97,78.51433789401096,78.64215605875143,77.54168566636548,74.86065731308861,291.686109479407,123.7710289958418,13.716916739940643,20.47124147415161,75.01
35,0.5,6.476086378097534,1.2270138263702393,wrn,1.3028350207878618,59.29600000000001,2.0275888610839843,49.57,79.74346582673255,81.63239465843168,77.42428398434417,74.97521316676583,265.7729087139904,109.34742288378574,15.000073611736298,20.275888442993164,75.17
36,0.5,6.682435512542725,1.1045312881469727,wrn,1.26406922449871,60.931999999999995,1.987664697265625,50.239999999999995,79.85409183827595,81.52405128439484,76.35909422259955,76.88906752411575,262.19153813122585,110.42293083848753,15.63693881034851,19.87664818763733,77.29
37,0.5,6.708096504211426,1.177640676498413,wrn,1.2364227209164171,61.419999999999995,2.3982258544921873,45.45,78.11352409301425,77.09610395356556,78.25271896519168,77.10357470210816,315.2096072021768,128.10892976038917,20.153307914733887,23.982257843017578,77.36
38,0.5,6.810173511505127,1.0841655731201172,wrn,1.2188905888066,61.775999999999996,2.1786375610351563,48.38,79.09888484535526,79.69214497358858,77.40109034500806,75.33901588531577,283.22614946595684,118.30543424000129,18.689464032649994,21.786375045776367,75.42
39,0.5,6.734212636947632,1.0900497436523438,wrn,1.182811207917272,62.788,2.185009796142578,48.209999999999994,79.53025715878498,80.45287488596837,77.77341250151102,73.62425178605908,279.9840068820966,113.82595912286375,18.005220592021942,21.850097179412842,74.05
40,0.5,6.076138496398926,1.062711477279663,wrn,1.1602907928885247,63.284,2.3566510009765627,46.48,78.5996223040786,78.73648884071427,78.43621668859817,75.7847533632287,300.2977104136247,121.20333495059832,20.585623383522034,23.566510677337646,75.92
41,0.5,6.505426406860352,1.0942280292510986,wrn,1.145000545346007,63.736000000000004,2.1330884887695314,50.370000000000005,78.99446573694375,81.16730535447923,76.02833964388054,76.74793471690509,264.4265835680817,113.55116206040078,18.610863387584686,21.330885887145996,76.91
42,0.5,6.774669647216797,1.1232686042785645,wrn,1.1293763685591367,64.396,2.0729084350585936,49.66,80.70522380954897,82.34264289913827,78.22805779640281,74.95033770361542,260.4020978499575,104.60740142390546,17.47099906206131,20.729084014892578,74.97
