epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,79.93261933326721,9.751190185546875,wrn,4.535793990504985,1.544,4.559388220214844,2.0,70.25920918367346,6.419494454207508,98.85601113383112,91.39795918367348,960.2847786103727,58.52523871893567,0.6737747695297003,45.59387683868408,91.85
2,0.5,7.6302149295806885,1.468277931213379,wrn,4.429108904332531,2.852,4.541738354492187,1.9,69.8029132464188,10.331597031352624,98.9657769422521,85.23955147808358,958.3026948157002,52.60570451219848,0.28938925825059414,45.41738510131836,0.0
3,0.5,7.192039489746094,1.380063533782959,wrn,4.327572214360139,4.016,4.4889766967773435,2.91,77.29796175228356,16.703330470923984,98.7244272555106,86.9193531774642,927.8370322354838,59.86422998530028,0.41891317814588547,44.889774322509766,0.0
4,0.5,7.420583963394165,1.3341577053070068,wrn,4.199822245811929,5.584,4.868503955078125,3.63,67.15119727656636,20.161582186450445,97.64789097166016,90.99304762893017,920.1622156885917,76.83074830751302,4.722770676016808,48.68504047393799,91.3
5,0.5,6.623297214508057,1.3155789375305176,wrn,4.054091923090876,7.156,4.482435498046875,5.47,69.11926047678199,18.13567864430625,97.02359928381902,85.422617158574,893.758296426972,107.41056528158677,4.378749057650566,44.82435703277588,0.0
6,0.5,9.81389856338501,1.4141781330108643,wrn,3.9215999914675344,9.124,4.3486237182617185,6.87,71.57633340632454,23.054827849068317,96.44060465755582,88.05970149253731,863.7030691746024,116.38208685369067,6.255122274160385,43.48624229431152,0.0
7,0.5,6.2982141971588135,1.3518166542053223,wrn,3.79613467381925,10.712000000000002,4.234394189453125,8.63,71.25975129961316,22.748965778051403,95.72181423057073,82.45594834190653,841.2458950183994,138.97448127944423,9.838932752609253,42.3439359664917,83.36
8,0.5,7.5183024406433105,1.3926661014556885,wrn,3.693690598011017,11.959999999999999,3.9551802368164064,10.52,69.53967027064695,26.78371226072048,94.21883385431921,86.38801966919982,812.4608347932675,154.55987095024847,6.755250692367554,39.551801681518555,86.57
9,0.5,6.56115198135376,1.374969244003296,wrn,3.5925082162934907,13.496,3.824887646484375,10.72,70.60837863772534,28.945119821530536,94.26690742522914,86.18951612903226,802.2051280582448,148.78905611127536,9.68414843082428,38.2488751411438,86.54
10,0.5,6.7379310131073,1.3692197799682617,wrn,3.4850753448447405,15.028,3.5655501953125,15.47,70.05127634142045,35.872425128738186,91.36366802756231,86.72660593871998,732.4150174972622,175.8266030583242,5.69707527756691,35.65550088882446,86.92
11,0.5,7.404759168624878,1.3993258476257324,wrn,3.37580514319089,16.904,3.4879091674804688,15.440000000000001,71.06737145283601,38.555671509031974,91.92276719249102,84.76821192052981,724.8183438629527,167.66975809379426,5.357593297958374,34.879093170166016,84.85
12,0.5,7.179809331893921,1.3496615886688232,wrn,3.2819510236078377,18.523999999999997,3.5408423706054686,16.509999999999998,71.24709966825058,36.26340702363699,91.61984172149074,82.23739369984429,718.9245861836349,181.40335470568948,11.042799800634384,35.40842294692993,82.41
13,0.5,6.605446815490723,1.3558073043823242,wrn,3.1723100591679008,20.624000000000002,3.2506370971679686,20.31,72.65552464841142,47.1501338762009,89.90559117017423,81.26490149328649,645.3950805635042,172.24801875489067,6.245167180895805,32.5063681602478,81.38
14,0.5,6.508541584014893,1.3590307235717773,wrn,3.0252678455138695,23.28,3.1322304443359377,21.5,72.13072433713525,47.25711873974383,89.04205422957922,82.67515923566879,634.1581916405817,179.63840057429354,8.5361547768116,31.32230520248413,82.87
15,0.5,6.706248760223389,1.4319016933441162,wrn,2.924159292055636,25.384,2.975581060791016,25.6,74.29283224126344,56.06969316564558,87.52284699038213,80.99462365591398,561.5281222920806,166.34804792473966,5.8764588087797165,29.75581169128418,81.08
16,0.5,6.479938745498657,1.3144159317016602,wrn,2.81793566261019,27.223999999999997,3.0760489379882814,23.97,72.93366071875873,51.34170300970714,87.91192174742213,81.91503353939234,595.1345355406543,177.21413840942347,11.54017448425293,30.760493278503418,82.15
17,0.5,7.199353218078613,2.0846731662750244,wrn,2.688930566213569,30.156,3.005616174316406,25.94,73.50131933702716,53.600330674418096,87.10938875486315,80.77234674588172,568.4266608089833,177.8568722506697,12.04308271408081,30.056161880493164,81.12
18,0.5,6.900392770767212,1.3748970031738281,wrn,2.6151520086794484,31.444,2.9051887329101564,27.99,73.79812924438515,57.61199598931349,85.71713851344559,82.37744757672546,535.0076353859347,171.3107101866928,11.486154794692993,29.0518856048584,82.42
19,0.5,6.858238458633423,1.3949158191680908,wrn,2.5248363115349592,33.300000000000004,2.5922628051757814,32.190000000000005,76.20112370149238,64.58619727966295,84.76342357585904,78.71995280932016,468.66124041630184,155.43950668034867,7.578326761722565,25.922627449035645,79.25
20,0.5,6.48564600944519,1.4102487564086914,wrn,2.4403135764355564,35.08,2.5135436218261717,35.27,74.17280767276043,62.926590061762525,81.95620553856776,80.19465471960451,454.40561915778187,174.66749485952604,9.784790873527527,25.135438442230225,80.35
21,0.5,6.783157825469971,1.454392671585083,wrn,2.365833115820982,36.872,2.5594627075195313,33.86,76.29083254461577,65.74706426868573,84.21210104543762,78.10704566071969,450.20298759851755,155.48505262177596,9.014405310153961,25.594627857208252,78.61
22,0.5,11.137173175811768,1.5963928699493408,wrn,2.292576918796617,38.376,2.5494293090820315,35.67,75.71786839402294,67.13866904380392,82.55295498172181,79.83833359241412,431.5083789303943,155.91620749678202,9.538383036851883,25.494296550750732,79.95
23,0.5,6.370743751525879,1.3459603786468506,wrn,2.2068657072222964,40.0,2.455902014160156,37.31,75.89048082358174,69.09177923519061,81.82135342095839,79.34279789440102,410.94539700499985,151.88796982049956,12.017516791820526,24.55901861190796,79.81
24,0.5,6.810849189758301,1.3698852062225342,wrn,2.1388517891874117,41.684,2.4867636596679685,36.84,76.9556286913129,69.69448143471007,82.52266828944337,78.76820772640912,409.9406435524216,146.21971659542453,9.189039468765259,24.867634773254395,78.91
25,0.5,7.179091691970825,1.3852050304412842,wrn,2.0796763386045183,43.02,2.290224426269531,39.78,76.29229318207965,71.34849141035413,80.00795047261082,80.58784456991033,382.3261313735821,146.8205233908512,9.82075184583664,22.90224313735962,80.69
26,0.5,6.989362001419067,1.3712286949157715,wrn,2.014041782033687,44.856,2.1865118408203124,42.230000000000004,76.64778154005586,72.58969025868443,79.42791867104786,77.87779124112862,359.28056403941656,145.61976762635413,9.364915639162064,21.86511993408203,77.95
27,0.5,26.440837621688843,1.3914198875427246,wrn,1.940253698704194,46.404,2.1606739196777345,42.35,77.07895935965004,74.29953719720746,79.11911725197673,78.47354726799654,350.1786852595549,137.55063269048173,9.425270557403564,21.606740951538086,78.53
