epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.7,106.17726039886475,2.5996832847595215,wrn,4.4300190998336015,3.6333333333333337,4.644485388183594,1.0,67.73752525252526,2.2404034956122167,99.43448711793164,88.02020202020202,982.8054205624873,38.857122422368164,1.2544507160782814,46.444854736328125,88.86
2,0.7,5.4160542488098145,1.378283977508545,wrn,4.211381966784849,6.1,4.726691125488281,1.31,65.34823748355365,6.727460641580244,99.04636737150601,95.10588712128887,974.6253580935795,44.515732032532455,2.7975648641586304,47.266907691955566,0.0
3,0.7,4.881497621536255,1.4088952541351318,wrn,4.029488450389797,7.199999999999999,4.810591979980469,1.81,68.32564444061828,9.369925962619668,98.89930414914045,90.19248395967003,962.2521827472206,52.966547214078005,4.521432518959045,48.10592174530029,90.6
4,0.7,5.0632853507995605,1.390329360961914,wrn,3.875387149342036,8.353333333333333,5.111682629394531,1.6199999999999999,67.07896315370735,5.75583594830045,99.00619621027764,90.95344582232161,969.4427656417332,52.43121903698278,6.709329783916473,51.11682415008545,0.0
5,0.7,5.600715398788452,1.6898555755615234,wrn,3.73019468380233,10.753333333333332,5.334794128417969,2.64,68.73863947610866,6.012227872178704,98.57976926780263,86.6885784716516,954.2063250929187,76.55425459002707,8.93639475107193,53.34794044494629,0.0
6,0.7,4.828187942504883,1.587040901184082,wrn,3.6031791214215554,12.666666666666668,5.112484521484375,4.24,66.84190330385714,10.624765162083103,97.45433631519336,87.41645781119465,926.9335581327373,103.34329140269239,12.756143510341644,51.124844551086426,88.12
7,0.7,4.6130383014678955,1.44083571434021,wrn,3.4475197286929116,16.313333333333333,5.339754919433593,5.09,68.04889504460745,20.237471477653628,96.95397065701871,90.15909809293015,900.0304710004535,102.50519189161945,18.972492218017578,53.397555351257324,0.0
8,0.7,4.382284641265869,1.399688959121704,wrn,3.259803503246631,20.253333333333334,4.964747180175781,6.21,71.08867259040865,17.21534718192748,96.84973975326915,85.01972491736859,883.7988042089455,118.47528112059757,17.98742264509201,49.64747428894043,85.34
9,0.7,4.7769410610198975,1.5489873886108398,wrn,3.0846362053337746,22.7,4.651645874023438,9.030000000000001,74.24378158328273,29.087672155816023,95.94917050250444,83.57700340771683,819.7391523422455,127.17614135814115,14.991779625415802,46.516456604003906,83.92
10,0.7,4.358232259750366,1.401911735534668,wrn,2.884495567467253,26.64666666666667,4.809291430664063,9.69,71.5901620367593,28.46928574751703,95.27308932115398,81.35311704130218,816.6365808443719,139.70852199664884,21.21257334947586,48.09291362762451,81.39
11,0.7,4.308742523193359,1.4640941619873047,wrn,2.6985956309205394,30.806666666666665,4.707261877441407,11.940000000000001,71.67263754612262,32.859022641284305,94.07484036717582,82.98887122416534,779.3833539980423,152.54131771406432,23.911552131175995,47.0726203918457,83.24
12,0.7,12.478204488754272,1.4852097034454346,wrn,2.503999560566272,35.57333333333334,4.387544030761719,15.17,72.43376589931967,40.23055837652243,92.48250347636515,83.39031003182836,721.1230580656211,158.90656262723556,21.14921510219574,43.875441551208496,83.47
13,0.7,4.4039082527160645,1.4187355041503906,wrn,2.31643841327247,39.22666666666667,4.216641772460937,18.22,75.37202231147313,45.89615104407067,92.03723615050714,79.2981168989973,665.6015801570647,158.02446375233882,20.199264585971832,42.16641902923584,79.42
14,0.7,4.247700929641724,1.4361793994903564,wrn,2.10733888411926,44.10666666666667,4.340959985351563,18.22,73.37445393775542,41.793926683995245,91.34058338550281,80.31303497187577,681.0587141664399,173.481597761714,25.255966186523438,43.409600257873535,80.46
15,0.7,4.104518413543701,1.4093244075775146,wrn,1.9375458784022574,48.373333333333335,4.199656164550781,21.43,75.85329362922197,53.2622582847484,90.55455197511786,78.77052310042001,609.550070426827,153.95315651133546,22.784265875816345,41.996564865112305,78.94
16,0.7,3.924076795578003,1.4076151847839355,wrn,1.7710062709905334,51.75333333333333,4.0025810546875,24.3,77.04401987485798,58.45464277680601,89.46727532606171,78.5997357992074,561.4480645655559,148.21866662646198,20.735961198806763,40.025811195373535,78.78
