epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,83.76654267311096,3.4133269786834717,wrn,4.514464258842761,2.002,4.556958081054687,1.4500000000000002,57.15253940761734,2.5582344641519077,98.85203064859309,92.02435312024353,980.9514335786174,56.83872970717352,0.08755206363275647,45.56957721710205,0.0
2,0.5,32.753772020339966,3.3764519691467285,wrn,5.101396055363897,3.1138478762857744,4.55503046875,3.1,67.1348913079663,14.80148322926845,97.93146783600524,91.51702786377709,933.3824199033163,72.06923021272304,3.3080797642469406,45.5502986907959,0.0
3,0.5,31.257018566131592,3.346306800842285,wrn,5.141470655705194,5.431655560746514,4.285567529296875,6.41,69.79703186417872,22.45661074474191,96.55737796525541,84.99839726466503,873.8461899959228,114.04881965098124,2.392346039414406,42.85567760467529,0.0
4,0.5,30.074884176254272,3.424201250076294,wrn,5.1187170991649875,7.089173268332318,4.082559619140625,8.28,68.49149427684762,23.213990710803607,95.14031585887861,89.12996075010902,848.7179450108416,137.79983862737,5.550932884216309,40.82559585571289,0.0
5,0.5,30.15789008140564,3.3928475379943848,wrn,5.1151028776168825,8.187821366115939,4.125708544921875,7.630000000000001,63.667630509301375,17.89683866889687,95.10206903270812,88.31871819854932,876.5240512862409,149.15023388101966,8.95439013838768,41.2570858001709,88.51
6,0.5,29.931353092193604,3.27642560005188,wrn,5.051099674121754,9.32526043043731,3.6899860778808593,12.29,70.8870325771212,31.637987938623212,93.45284312024415,85.93090867631969,777.4684524799975,158.01407833020465,5.055613815784454,36.89985990524292,86.18
7,0.5,29.691460132598877,3.378416061401367,wrn,4.9199593026759265,11.263451574332404,3.4286937683105467,16.27,71.44799726871082,38.80910811357095,91.58188593125065,84.37835901110714,713.5600102851348,171.69836026112228,3.1885504722595215,34.28693771362305,84.72
8,0.5,28.554247617721558,3.24393630027771,wrn,4.773369986042635,13.497915998717538,3.454243896484375,16.46,71.97516138106293,40.40098959692836,91.52134801450333,83.34929375149629,706.3459043852853,167.92331306095232,5.549246072769165,34.54244136810303,83.54
9,0.5,29.864455938339233,3.426328659057617,wrn,4.635008289232287,15.663623879150174,3.376332269287109,17.75,71.25627638169442,40.29558234574523,90.87322064050336,83.4772036474164,694.780706482901,179.13998541973442,8.32149013876915,33.763320446014404,83.71
10,0.5,28.6416175365448,3.299516201019287,wrn,4.5048658179576835,18.177630865936926,3.092864685058594,23.14,71.09613591009797,44.61853916011039,87.5608489539782,84.71246422066095,628.6960172470044,198.77478446810508,6.058795005083084,30.92864751815796,84.83
11,0.5,28.407195568084717,3.2728710174560547,wrn,4.3583367228092635,20.76780253385758,2.8330721313476563,27.38,73.30613856131731,55.393562398296226,86.11740950165682,80.34976590470944,549.0521174658543,177.5209643116428,3.403056785464287,28.330721855163574,80.35
12,0.5,28.4798321723938,3.426363945007324,wrn,4.237385559918588,22.761818531017642,2.904962322998047,27.35,74.83715844794418,57.22978132760201,86.77015820130626,81.48657949070888,540.014545481106,168.09462070345356,4.924806207418442,29.049620628356934,81.61
13,0.5,27.608532428741455,3.3736655712127686,wrn,4.139255201858682,24.99792789059262,2.8751295349121095,27.22,75.3929136130163,58.20621253661067,87.49749069648773,78.1121187139324,537.0471260689482,163.43871705071888,6.977532804012299,28.751296997070312,78.29
14,0.5,28.13865351676941,3.3139522075653076,wrn,4.03860516565126,27.30510266540537,2.4710866943359373,34.849999999999994,75.62603461166208,66.88827911682426,83.12502127316961,81.08979278587874,439.2687910056216,155.12858250599476,1.1712538078427315,24.710867404937744,81.23
15,0.5,28.353052139282227,3.3544654846191406,wrn,3.9674981551510946,28.74618593063293,2.5230897583007814,34.78,75.12335168851249,64.9105519261286,82.99010424903129,80.328120208525,448.60005704324544,163.72126312539314,3.6888256669044495,25.230896472930908,80.42
16,0.5,27.8350932598114,3.2751576900482178,wrn,3.8835514097762625,30.616777240526254,2.4813252807617188,35.03,74.74118690059677,65.25371906920365,82.04572513206085,80.91426812374942,446.0310446376959,163.78360631487305,4.058942571282387,24.81325387954712,80.93
17,0.5,27.893417358398438,3.3027193546295166,wrn,3.7964490983460353,32.60881854154889,2.380949981689453,37.96,75.28028842332253,68.74907689882505,80.50596715173597,81.89877498388137,408.3895559070152,155.68424167573514,5.275359004735947,23.809499740600586,82.0
18,0.5,28.54331350326538,3.3686046600341797,wrn,3.7202147530472796,34.37668492295468,2.110179528808594,43.04,77.8810021413318,75.68520306136368,79.68682856498963,76.5625,338.01815383931205,131.26268610522774,2.318103238940239,21.101794242858887,76.67
19,0.5,26.918824434280396,3.1427037715911865,wrn,3.6535689073757536,35.626087204494254,2.171706170654297,41.620000000000005,76.34226386996397,72.54942801301063,78.98875462620448,78.46865364850977,364.1046932567469,145.1411869791543,3.1210195273160934,21.71706199645996,78.49
20,0.5,27.24918532371521,3.554558038711548,wrn,3.5877339657205733,37.165660668821694,2.1479835083007814,43.04,78.35938152646087,75.78225766329739,79.87549498132086,76.01825842696628,336.70076087655633,129.945293142472,1.3873439282178879,21.479835510253906,76.16
21,0.5,28.503740549087524,3.2214927673339844,wrn,3.5463675023878323,38.433897720412794,2.0870675048828127,44.21,77.88133466051706,75.92648610991837,79.05958336961115,76.60871123857322,329.0202178675849,131.97071652767318,1.466873474419117,20.870673656463623,76.95
22,0.5,27.518460512161255,3.2816531658172607,wrn,3.4883486812605575,39.62476223413453,1.9909669860839845,46.54,77.91082489251329,77.88670806220627,77.14861036138461,77.45978301533857,304.94716213181505,126.31208841604541,2.52927765250206,19.90967035293579,77.68
23,0.5,28.6498761177063,3.3432745933532715,wrn,3.437222296901295,40.848568870404065,1.9111602722167969,48.15,79.12116287197173,80.32302631304297,77.15438557163434,76.83702989392478,281.5641085484697,114.96792503718495,1.6854681074619293,19.11160111427307,77.22
24,0.5,29.731189012527466,3.3321244716644287,wrn,3.3893827879870377,42.19986663960803,1.9426358825683594,47.49,78.31243446735512,79.110038113234,76.64171362971777,77.52808988764045,292.6049041983123,121.13967522382352,2.2137705236673355,19.426358938217163,77.85
25,0.5,28.346540212631226,3.4159176349639893,wrn,3.3369351833726393,43.19614278660431,1.880471743774414,48.809999999999995,79.35857387058324,80.48129909050496,77.2356127871328,76.05000976753273,276.4494341787809,114.631826007839,1.2735039927065372,18.80471706390381,76.09
26,0.5,29.968942165374756,3.4639499187469482,wrn,3.3089327182911585,44.00920316868593,2.0751127197265626,45.550000000000004,78.15858616098113,77.07074250308085,78.02117863374265,76.74931129476585,314.64213864572935,128.32891926523686,5.404850468039513,20.75112819671631,77.08
27,0.5,28.299073934555054,3.568915843963623,wrn,3.280860103777985,44.73761103319308,1.909992724609375,48.59,79.22317143485185,79.83837182076958,77.67362616463961,75.23828049017702,281.0930532338291,117.69256264922801,3.888741135597229,19.09992814064026,75.65
28,0.5,28.504547834396362,3.242910146713257,wrn,3.253148311086362,45.2894837028143,1.8383598327636719,50.03999999999999,80.20710133254485,81.89310812293438,77.16810604563618,74.47958366693355,261.0609008961025,107.9115900909488,2.4241195991635323,18.383599519729614,74.68
29,0.5,27.498913049697876,3.3746607303619385,wrn,3.2183668461631747,46.02625717969757,1.8148969024658204,50.64999999999999,79.45464583514614,81.63558815894336,75.98123684486234,75.05572441742655,259.8760606445526,110.91303950065917,2.1400392055511475,18.14896821975708,75.38
30,0.5,28.73542547225952,3.352971315383911,wrn,3.1945334350256096,47.110888934631106,1.8996333984375,49.220000000000006,78.27874591560602,79.0072855464212,75.68730989380958,76.13233556518314,282.8382827397555,123.94416615234988,1.9707586616277695,18.996334075927734,76.29
31,0.5,30.1091251373291,3.325169086456299,wrn,3.1741787670250226,47.68619370032381,1.7726592041015625,52.11,79.86374254727791,82.65985311131446,75.51472615469449,74.96345792441011,245.9114955629351,106.67141508653219,1.332988403737545,17.72659182548523,75.11
32,0.5,29.184385299682617,3.3166537284851074,wrn,3.1553169277479065,48.252926569705565,1.8257320678710938,51.57000000000001,79.32393622816353,81.68476129263858,75.3584883978256,76.4195746438158,254.58692113467745,111.79897232071534,1.7794091254472733,18.257319927215576,76.63
33,0.5,29.568925142288208,3.171921491622925,wrn,3.148165344288855,48.495973472288014,1.740315966796875,53.04,79.48979716378754,82.3416549556082,73.85128996806067,76.72487223168655,243.0271576450475,109.76644243964834,2.138929069042206,17.403160333633423,76.98
34,0.5,29.707879781723022,3.2710108757019043,wrn,3.119087969714945,49.42957892553412,1.7858704071044922,51.83,78.86915596656658,81.44388166789093,74.62116193261016,75.27506746937928,255.00641313068212,113.93371930821272,1.5270971693098545,17.858703136444092,75.4
35,0.5,30.701184272766113,3.564849376678467,wrn,3.1177033190491534,49.841071799899,1.7454686614990234,52.28,80.65305072756087,82.87767705668772,76.87463115888484,72.2338642078793,242.84094313589318,104.70617532881951,2.910700812935829,17.45468497276306,72.34
36,0.5,28.288148403167725,3.3876423835754395,wrn,3.085891031946973,50.31814938154139,1.8229804260253906,50.61,80.18846925176342,81.81064614886596,77.1138233417773,72.20085037456975,258.2199940614525,108.9847225471537,1.8871508538722992,18.22980523109436,72.4
37,0.5,30.58860683441162,3.3512277603149414,wrn,3.0711578425345767,50.52800666329536,1.7882965942382814,52.6,80.63288131106513,83.59479284937102,76.24925017865417,73.29113924050633,237.41979183766074,101.35063068222946,3.8024425506591797,17.882966995239258,73.61
38,0.5,30.850080728530884,3.296703338623047,wrn,3.0640863293477336,51.238339343724846,1.6232496459960937,56.48,81.0859404291993,85.28756827140309,74.38212114331549,71.76011029411765,207.8103079360632,95.27128115125683,1.134495809674263,16.23249650001526,71.88
39,0.5,30.77337908744812,3.32423996925354,wrn,3.046693278633001,51.376119402985076,1.6804454223632812,54.949999999999996,80.24024867728609,84.29493027953421,73.69430589173467,72.51942286348502,221.77629408048065,100.287498654065,1.9926507025957108,16.804455518722534,72.83
40,0.5,31.7944118976593,3.4481892585754395,wrn,3.0373307666705767,51.54002268250463,1.8978697692871094,49.38,79.39119318986488,80.882498382635,76.47894986344677,76.74832082180956,271.03435387685363,113.27183175954208,1.8100643530488014,18.978697061538696,76.87
41,0.5,31.472042560577393,3.5900113582611084,wrn,3.0483474212748405,51.694129609139026,1.8493492370605469,51.06,79.8206625985983,81.42131339467693,77.53564750331114,71.18921127911729,258.1408712427521,111.95024733638131,1.5442070551216602,18.493492603302002,71.39
42,0.5,31.828654766082764,3.3238306045532227,wrn,3.031122875577621,52.020232251885545,1.7901949340820313,52.07000000000001,78.98214623936843,80.58413452195428,74.99062983765381,74.90089714166493,258.09491239602744,118.5939530321043,2.4943597614765167,17.90194869041443,74.96
43,0.5,30.833808422088623,3.4174201488494873,wrn,3.0307705648072805,52.33496771107391,1.797329656982422,52.32,79.88560250677298,82.57855998658842,75.45361793241972,72.6719798657718,245.14363568110832,107.26813740975061,2.097954973578453,17.973296642303467,72.9
44,0.5,31.857151746749878,3.4686038494110107,wrn,2.991311277009518,53.413558203042946,2.0401721557617187,47.02,77.10767479811085,76.32685720504283,76.67483187236719,77.68969422423557,310.6890100509751,135.7005866313492,8.343274891376495,20.401721000671387,77.99
45,0.5,31.298142671585083,3.2898097038269043,wrn,2.9856738879762847,53.60861867178826,1.8043609436035157,51.61,78.71210385776388,80.73197250698553,75.40239209960016,73.73424261210994,260.1053527523215,117.58214088067132,3.4154947847127914,18.043609857559204,73.82
46,0.5,30.393309593200684,3.1514015197753906,wrn,3.0144856618000913,53.245384175175445,1.5574947784423827,57.45,81.4164792559616,86.15342493214153,74.16949928099031,71.39835487661574,197.93498466089386,90.85458654371001,1.172671653330326,15.574947595596313,71.56
47,0.5,31.39180850982666,3.3074288368225098,wrn,2.995428371429443,53.42948331928219,1.7254903137207032,53.459999999999994,79.88101743533153,82.17191557782833,75.15113039719981,72.13149978513107,241.31474245825433,110.70076214150879,1.9806701689958572,17.254902124404907,72.35
48,0.5,32.585673570632935,3.4084160327911377,wrn,2.958648859537565,54.16253269595022,1.693236767578125,55.230000000000004,79.8111990991355,83.5047209705689,73.23447408782144,75.07259325441143,225.1658290839572,105.34640219997706,1.70199666172266,16.932367086410522,75.12
49,0.5,31.2298800945282,3.3955323696136475,wrn,2.9707434186568626,53.891818592737685,1.6261525543212891,55.36,80.64952139595893,84.79973043209495,74.04187757798093,73.76792114695341,216.49078990924704,97.44159733136276,2.969660237431526,16.261526346206665,73.95
50,0.5,32.25289011001587,3.3977174758911133,wrn,2.9533494564203115,54.469610264441904,1.6893661193847656,55.230000000000004,80.78418469016464,84.56036531898354,74.56586030469853,72.57091802546348,218.28500731199372,98.4655804280136,2.016947977244854,16.893659830093384,72.91
51,0.5,31.55265998840332,3.0758588314056396,wrn,2.954212103110943,54.40967926862385,1.7123707000732422,55.16,80.21466543843908,83.88230455873406,74.42505523794911,73.75111507582515,223.002015532391,102.76658012993641,1.9078591838479042,17.12370753288269,73.93
52,0.5,32.93324661254883,3.389089345932007,wrn,2.958450815310845,54.427821680641856,1.583704037475586,57.74,79.1392182525547,84.33727564895116,70.89924432798405,74.37292948414577,209.24732779569118,103.76696258204795,2.2389303892850876,15.837041139602661,74.73
53,0.5,31.669284343719482,3.151271343231201,wrn,2.9521087884902952,54.866242422414565,1.7379021575927733,53.480000000000004,80.79835616500024,83.91416793546475,75.45959606331425,74.07566638005159,230.7914224591776,100.30265203100342,1.0742698796093464,17.379021644592285,74.25
54,0.5,32.40920400619507,3.2096140384674072,wrn,2.94224121671846,54.70655717908465,1.7919745910644531,53.74,77.77532404906749,80.77275683070086,71.96938739794115,75.65931690445309,249.9376705397238,121.06983253684481,2.338161878287792,17.91974663734436,75.72
55,0.5,32.25542497634888,3.2389893531799316,wrn,2.915301922205332,55.32332598387145,1.8125902770996094,52.44,77.57750216676001,80.2993703022725,72.95119836800829,77.31286795626578,259.3966526984759,122.29712910583129,4.926946014165878,18.1259024143219,77.57
56,0.5,32.239943981170654,3.2892026901245117,wrn,2.916811413746543,55.71329326124385,1.608770086669922,56.989999999999995,79.76177124773662,84.20062633974385,72.34925875584008,74.91281097419204,212.86712621018236,103.21868889344263,2.152816951274872,16.087701320648193,74.94
57,0.5,30.386802673339844,3.358224630355835,wrn,2.9191629295201267,55.7005723283772,1.6704092834472657,55.58,79.06608935382255,83.50718613900293,72.3746641685926,75.55155335434489,224.27880028376774,106.52613042202891,2.2610221058130264,16.70409321784973,75.98
58,0.5,29.167968034744263,3.2551584243774414,wrn,2.911574889334012,55.521277561019865,1.6668630676269531,55.71,80.8708221489709,84.63344747491746,74.67251932549641,70.53510950553172,215.41696205826761,98.4263238396027,1.4107700437307358,16.668630838394165,70.87
59,0.5,27.426203727722168,3.233187675476074,wrn,2.9090381395862828,55.81606413553168,1.6563503326416016,55.36,80.0008975140883,84.067962146345,73.90706982754979,72.87186379928315,221.21758355099493,102.16839097311068,1.5529070049524307,16.563501358032227,73.16
60,0.5,27.78936791419983,3.371979236602783,wrn,2.911157859388248,55.74510635719048,1.5968717651367188,56.84,80.1848790713115,84.93299043092884,72.75206856689034,72.45134383688601,208.99210627798814,98.49825163831255,1.3024748302996159,15.968717336654663,72.66
61,0.5,29.27665948867798,3.333284854888916,wrn,2.88976084077081,56.39455576101125,1.611850991821289,56.45,81.25488046583192,85.7808172264338,74.27578982373217,71.96326061997705,205.00832893494194,92.29783738396327,1.7625682055950165,16.118509769439697,72.06
62,0.5,63.89138650894165,3.3984439373016357,wrn,2.8842477006801768,56.69834735758823,1.6213890228271484,56.57,79.801861752952,84.10903227796767,72.19269984663863,75.47778033617315,215.33817073888716,103.31258250019054,2.3211712017655373,16.213890314102173,75.71
63,0.5,30.170768976211548,3.221142530441284,wrn,2.896286224209985,55.891192810953584,1.6125056060791016,56.120000000000005,80.35806930844244,84.71625467979398,73.7483693085694,73.65542388331814,213.4920826161961,98.88493735524614,1.123340055346489,16.12505555152893,73.79
64,0.5,37.55983924865723,3.135263681411743,wrn,2.8703022511430487,56.670305014856595,1.6259155426025391,56.10000000000001,80.50348182346039,85.16023561928834,73.23521962407379,75.0113895216401,210.9995305679995,96.2768140787458,4.2800422757864,16.2591552734375,75.4
65,0.5,27.76265048980713,3.2749505043029785,wrn,2.88127349605856,56.60068010687394,1.5892735931396484,57.49999999999999,81.75140869565217,86.73817857014502,73.82195263774474,70.84705882352941,194.06915292643916,87.2656648826915,1.8479475751519203,15.892736911773682,71.44
