epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,160.889093875885,20.641566276550293,wrn,4.483585951578282,2.176,4.509117724609375,2.31,81.31262909131678,16.007329112089913,99.15052638886738,87.35796908588391,938.2570138266798,48.39602730627624,0.5096953362226486,45.09117603302002,0.0
2,0.5,67.99163436889648,8.353083848953247,wrn,4.914823937625829,3.5005968230649156,4.937615759277343,3.37,62.25505776108875,15.121609195645016,97.45592129440207,91.52437131325675,933.3533656032203,81.30504138594286,3.8936953991651535,49.37615394592285,91.6
3,0.5,52.635591983795166,8.783619403839111,wrn,4.963272508978844,5.210067574184703,4.481703283691406,5.319999999999999,67.059521427142,14.661736826205885,96.84247087689648,86.82931981411069,906.147239204008,115.41991336016544,4.041567444801331,44.81703758239746,0.0
4,0.5,46.41682434082031,3.091127872467041,wrn,4.937717409786262,7.282705807275047,4.282284057617187,7.6499999999999995,66.2955295816215,15.633076406244562,95.36581082580868,86.06388738494857,878.1967835601648,151.33732072861284,7.4736639857292175,42.822842597961426,86.63
5,0.5,25.48611092567444,7.59192156791687,wrn,4.89176295747693,8.681587460221445,3.9745836547851563,9.07,69.10338846982505,23.118658826606435,95.14311774388524,83.42681183327835,839.2343632058636,147.63231471866044,7.796353101730347,39.74583625793457,83.73
6,0.5,32.720319509506226,3.0308799743652344,wrn,4.768423685411206,9.902649218001915,3.6526871643066405,12.57,70.20875707271125,29.711917550727073,93.31398468973886,84.11300468946585,780.6641477303107,167.04799316792273,7.822310924530029,36.52687072753906,84.43
7,0.5,36.94988203048706,4.514569044113159,wrn,4.581624000145713,11.947281184836656,3.4826887268066407,16.84,72.26738028400736,40.33138202449751,91.74002299919913,80.67580567580568,702.3910910783612,170.78107011444777,6.611563265323639,34.82688665390015,80.92
8,0.5,29.852967977523804,3.0632219314575195,wrn,4.386667988963963,14.195439389050232,3.3875868286132813,18.01,72.85765473356098,41.773186875201695,91.02369922259193,83.09549945115258,683.9917529395934,172.82692206631432,7.290065288543701,33.87586832046509,83.25
9,0.5,27.288906812667847,3.387373447418213,wrn,4.169876764389883,16.929368432455856,3.2125550048828124,22.0,73.27884906759905,48.10386182825456,88.9909476536295,83.57692307692308,623.4759684567235,176.58406963527406,10.607726126909256,32.12554931640625,83.71
10,0.5,40.312647104263306,5.644790410995483,wrn,3.9893080548542303,19.44255052226798,2.85711552734375,26.35,75.25384562865288,57.565660339284584,87.62604696817671,81.28988458927358,547.2947654619627,162.22521901065235,7.690839469432831,28.571155071258545,81.43
11,0.5,31.157118320465088,3.535118341445923,wrn,3.8387689691194344,21.451790633608816,2.6826995849609374,29.69,75.53405289446404,61.59550056888647,86.14373582610536,78.82235812828901,502.5450796182587,159.9885331006271,5.657176300883293,26.8269944190979,78.98
12,0.5,29.53291964530945,3.674057722091675,wrn,3.6706119192407485,24.050632911392405,2.8788681030273438,28.29,74.98389713211459,58.7878016803316,86.26798393538206,80.29563519732254,525.9207939016562,166.027817312505,8.937481790781021,28.788681030273438,80.34
13,0.5,29.665578603744507,5.447809934616089,wrn,3.5338188341685703,26.158570630932438,2.8305091613769533,31.080000000000002,71.61976824266436,54.31401027726091,83.12046551090461,82.617527568195,525.9331134832332,199.93575276310395,12.62039989233017,28.305091857910156,82.92
14,0.5,28.850830554962158,3.3729350566864014,wrn,3.390128483875192,28.456609712230215,2.6445226989746096,33.23,75.93862375190257,64.34796864943036,84.82647159593282,77.45993709749888,461.6074473192533,160.00804085270715,12.462130188941956,26.445226669311523,77.53
15,0.5,32.58428645133972,3.0661191940307617,wrn,3.273244587637538,30.527829470478768,2.5903864440917967,34.33,75.00895007214838,64.762082976207,82.91465146470236,79.19902543018121,452.7921553079723,163.13154891337018,12.080255150794983,25.903866291046143,79.9
16,0.5,28.891032218933105,6.272763013839722,wrn,3.173397425738248,31.824124602091857,2.287538311767578,39.75,76.71897492105744,71.93160773445359,80.80359644193773,79.00414937759336,379.3575485613616,143.57528565424238,8.686760067939758,22.875382900238037,79.27
17,0.5,26.889854431152344,3.0891807079315186,wrn,3.0169871105764905,34.269502737226276,2.2773531005859375,40.32,77.8244428286842,73.41803894805595,81.2760831278563,76.72587131367293,366.97056413261845,136.40622122172968,10.454414784908295,22.77353048324585,76.91
18,0.5,26.557705402374268,3.062129020690918,wrn,2.9609449809287494,35.22183713802882,2.1745490905761717,42.77,78.18212863680758,75.54356836868918,80.34632891379539,75.62467237462869,339.9622728346979,130.9221097402624,8.092380315065384,21.74548864364624,75.71
19,0.5,27.554686784744263,3.0427939891815186,wrn,2.839195015675881,37.16849795777484,2.0034618591308595,45.2,78.42396930107873,77.23660994949246,79.14847490501819,76.11313868613139,315.74510773178025,126.66614854753772,6.357722729444504,20.034618377685547,76.39
20,0.5,31.556412935256958,3.056814670562744,wrn,2.733229049864937,39.076683669058525,2.1355334045410155,43.74,78.2617846041413,76.51680058087462,79.53577745056135,77.37291148240313,328.8676194553006,127.95681593674458,11.705238372087479,21.35533332824707,77.52
