epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,79.89002227783203,7.046247243881226,wrn,4.514907946391982,2.2640000000000002,4.564678076171875,1.77,70.95497077940564,10.812031773660083,99.07127454893504,87.73287183141606,959.912482825236,49.017657142657825,0.14722590567544103,45.64677715301514,0.0
2,0.5,15.394186019897461,3.066589832305908,wrn,5.22092961398038,2.050697806892623,4.551738989257813,2.22,80.78051205224452,15.03324411961971,99.20501378731822,86.18326856207813,941.2996225317629,48.02974091206957,1.5030167996883392,45.5173921585083,88.0
3,0.5,15.265823364257812,3.1745543479919434,wrn,5.1736753487292635,3.242773729672345,5.221027478027343,1.35,72.82326218768185,7.640992274864722,99.19889805909693,91.36340598073998,967.3571569289356,38.9755424416951,9.723877906799316,52.21027851104736,0.0
4,0.5,15.6188063621521,3.042034149169922,wrn,5.205705205346368,3.7571100688554036,5.305221166992188,1.27,70.92930612479275,10.723521141173089,99.24435660230209,93.41638812924137,967.4287306595454,35.57887738561894,8.241422474384308,53.05221080780029,0.0
5,0.5,14.35772442817688,3.0409252643585205,wrn,5.074202944070865,4.8384665628297245,4.869139587402343,2.7,60.664915686498425,4.920466315644132,97.86177236356764,93.01130524152107,959.525403828614,84.04720097901486,11.834383010864258,48.691396713256836,0.0
6,0.5,14.543874979019165,3.1014134883880615,wrn,5.074901728253615,5.517668939863609,4.35111044921875,5.29,69.99520374503085,14.616792893450203,97.07200551973173,87.42477035159962,901.0009669207828,109.39268455301865,10.699857026338577,43.511109352111816,0.0
7,0.5,13.690247297286987,2.9697914123535156,wrn,5.123860703932272,5.868320610687023,4.214390856933594,6.35,66.23025085025077,13.472667994835893,95.89887650976043,91.58569140416444,895.1822608824169,133.73368707321865,10.480276495218277,42.14390754699707,91.99
8,0.5,13.285197734832764,3.016519784927368,wrn,5.038688519229628,6.987203512341382,3.949325817871094,8.85,67.61703406875735,18.4407957631127,94.88628923603125,88.68897421832145,853.5218376960831,156.61245403277357,5.990246310830116,39.493257999420166,88.77
9,0.5,13.42170524597168,3.031224012374878,wrn,4.91529097622388,8.15439123899506,4.0133142700195314,8.76,66.37526049017194,16.274829433355666,94.60920932925174,87.83428320911881,862.7062037405766,163.60995075966233,7.545316964387894,40.13314247131348,88.06
10,0.5,13.649540185928345,2.988307237625122,wrn,4.80867217491413,9.324637524928583,3.933310888671875,9.82,71.0018297869073,21.171866824165065,95.0582322433528,84.5863827899756,831.6818025654125,157.77936061306497,10.076158493757248,39.333109855651855,84.6
11,0.5,14.876936197280884,3.0758938789367676,wrn,4.724480372461779,10.397918247858614,3.6060357360839843,12.86,69.77346655477628,29.647075491225,93.11462763008463,84.9208170759697,777.970843389348,170.33567626851854,6.094019860029221,36.060354709625244,85.13
12,0.5,13.142602443695068,2.9426846504211426,wrn,4.587249527374904,11.176853761806536,3.658475915527344,11.74,66.24970902525487,22.98223916064268,92.84930989787811,86.50577838205302,813.9479573261222,182.83852415056978,7.587338984012604,36.58475875854492,0.0
13,0.5,13.222625970840454,2.980072498321533,wrn,4.451331224706438,12.585126668482701,3.5174790649414063,15.229999999999999,67.93953528109083,31.124331215471134,91.3470613998621,85.6317093311313,752.4096943665824,191.3235241726219,8.478202670812607,35.17478942871094,85.63
14,0.5,13.272103548049927,3.091123580932617,wrn,4.337010333588073,14.208367514356029,3.4210127685546876,16.150000000000002,69.10595176777048,32.01344121459948,90.99737772695953,83.70900417412045,738.2348553239344,194.18975233952162,11.380219459533691,34.21012878417969,84.13
15,0.5,13.5745689868927,2.9714157581329346,wrn,4.189316844606733,15.63410477708757,3.468178594970703,17.34,70.05911222888552,37.600935433814996,90.52890363988207,84.6963464795548,708.812743029817,186.0362838476466,13.836793601512909,34.68178987503052,84.95
16,0.5,13.123119115829468,2.9695379734039307,wrn,4.063556958252276,16.909572706194105,3.139618994140625,21.029999999999998,69.05342025126042,37.62098146072932,88.24041536122449,84.3738128403191,676.0362340852005,214.2402413615141,10.645847022533417,31.396188735961914,84.4
17,0.5,14.818822145462036,2.9479267597198486,wrn,3.899867057800293,19.493404278904777,3.144114904785156,21.01,69.40913179293146,39.76498921861862,88.06581852291671,85.70705152550956,667.0839491698928,204.97601727455412,11.529792845249176,31.441147327423096,85.77
18,0.5,13.563701868057251,2.962998151779175,wrn,3.75603505567456,20.86375034828643,3.227737878417969,21.91,68.92304804126871,40.30144613877614,87.72691594307899,83.65987962607248,659.3421739104317,211.08571670504656,14.320769906044006,32.27737903594971,83.7
19,0.5,16.63872790336609,3.1258583068847656,wrn,3.648934493746076,22.745603226167805,2.887237225341797,26.450000000000003,70.42294698127246,47.11368592329042,85.5925401666892,82.67845003399049,593.1348218108769,209.3970821332375,9.244973957538605,28.872370719909668,83.15
20,0.5,18.964868783950806,3.1088032722473145,wrn,3.51879411635639,25.08612413169933,3.132062188720703,24.990000000000002,71.01268450321069,48.79711844790858,86.08228284020073,85.62858285561926,597.6967286883144,194.13166952950783,17.478664219379425,31.320619583129883,85.91
