epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,77.66810655593872,6.81374716758728,wrn,1.4031293038517008,97.304,0.9996975769042968,75.94,86.01728931993605,95.05813907726461,63.14626978496367,64.83790523690773,71.45044567447508,39.857549395935095,9.938271343708038,9.996974468231201,65.09
2,0.5,53.89753723144531,5.277020215988159,wrn,1.3010608899928724,96.884,1.074334439086914,74.58,82.16278138957655,92.97351229615806,57.857528551605554,70.37765538945712,91.55428331227282,56.09579093313814,6.930185854434967,10.743345022201538,71.13
3,0.5,53.14038848876953,5.4853575229644775,wrn,1.2248469350283102,96.22800000000001,1.0636068084716797,74.05000000000001,82.96447617151875,93.04524915748443,59.77546474736556,69.7495183044316,92.11673285829247,55.08488518389951,5.1908742636442184,10.636067390441895,69.79
4,0.5,54.885409355163574,5.563313722610474,wrn,1.172770596526163,96.258,1.0326652069091797,74.2,83.72367788712678,93.41593369373128,61.66965258224308,67.90697674418604,88.74383697883052,52.16111555337991,3.5509109497070312,10.326652526855469,68.22
5,0.5,54.619747161865234,5.490135431289673,wrn,1.1411460467311731,96.208,1.0022970275878906,74.58,84.62687667776684,93.94801062623742,62.65937618541837,65.85365853658537,83.53995484162002,48.08146246248535,2.5664731860160828,10.02297043800354,65.97
6,0.5,52.20481586456299,5.215097665786743,wrn,1.122919990888337,96.294,0.9906858306884766,74.85000000000001,84.5854226677344,94.05126408813477,62.266901826894774,67.31610337972167,82.1070194401569,47.43554966931378,2.066650241613388,9.906858205795288,67.59
7,0.5,53.493913412094116,5.0693066120147705,wrn,1.1095694507784246,96.346,0.976554833984375,74.96000000000001,85.27544029872377,94.37870404639355,63.076355087961325,66.53354632587859,79.18867158073236,44.835046404952614,2.1806934848427773,9.765548706054688,66.81
8,0.5,57.25788736343384,5.504634857177734,wrn,1.0995488962553956,96.542,0.9676275634765625,75.36,85.02778923074007,94.37238485004666,62.29110325428202,66.80194805194806,78.30146055395718,45.09004414453692,2.023216150701046,9.676275253295898,66.84
9,0.5,57.283095598220825,5.4522011280059814,wrn,1.0900764340329963,96.678,0.9621395111083985,75.36,85.41576191854854,94.53998236649274,63.09105025081184,65.13798701298701,76.93694017388135,43.72552376446108,1.4398044906556606,9.621394276618958,65.34
10,0.5,57.285430669784546,6.202500104904175,wrn,1.0847634604519896,96.748,0.9632610900878906,75.35,85.32702425866579,94.46055953026469,62.86466805166495,65.2738336713996,77.56787560678042,44.3281632066751,1.4925088733434677,9.632610082626343,65.4
11,0.5,55.48511719703674,5.361215591430664,wrn,1.0808034650505047,96.83,0.95358701171875,75.42999999999999,85.63892885780729,94.61741602449072,63.82774321595506,64.18396418396418,76.10466434480502,43.090948418845876,1.5124965459108353,9.535869359970093,64.31
12,0.5,53.768834590911865,5.323750257492065,wrn,1.0749162112355537,96.892,0.9511500762939453,75.53999999999999,85.66477264486106,94.67171968652578,62.87501840783219,65.20850367947669,75.43336044115348,42.72900445998934,1.5488497912883759,9.511500000953674,65.54
13,0.5,53.31828308105469,5.073091268539429,wrn,1.0716942618874943,96.918,0.9491843994140625,75.5,85.78441411001486,94.71526480766943,62.886830662714424,64.65306122448979,75.17584578527277,42.35918073377261,1.4989794231951237,9.491843581199646,64.86
14,0.5,59.90336775779724,5.324753284454346,wrn,1.06901333886949,96.958,0.9463867950439453,75.77000000000001,85.6250378899891,94.716348747001,62.768283089726815,65.00206355757325,74.53744742543378,42.47476163438579,1.3668401166796684,9.463868141174316,65.5
15,0.5,56.83660078048706,5.242568492889404,wrn,1.0635464496319862,97.086,0.946354019165039,75.78,85.594191452113,94.69845658683174,63.14589899834016,65.40049545829892,74.64728716369422,42.61234154902323,1.4686064794659615,9.463540315628052,65.48
16,0.5,52.814617395401,5.143395900726318,wrn,1.062862766673193,97.152,0.9466452392578125,75.66000000000001,85.8632149926443,94.76798497050108,63.87472744292666,63.55792933442892,74.34135581324493,41.97265664142026,1.5588019974529743,9.46645200252533,63.76
17,0.5,52.91039204597473,4.774524688720703,wrn,1.061771714931254,97.03399999999999,0.9473077331542968,75.61,85.83279120716084,94.73369822009387,64.38027664568679,63.87863878638787,74.72733602845705,42.219011324040935,1.4087678864598274,9.473077058792114,64.0
18,0.5,57.62785816192627,5.4598212242126465,wrn,1.059040972643801,97.09400000000001,0.9455574615478516,75.62,86.00616364929868,94.79009594934078,64.54981638195969,63.04347826086957,74.23266638400501,41.75229323064032,1.239335723221302,9.45557415485382,63.17
