method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Error Detection,43.76975763962066,86.42292146567992,64.07059275569247
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Gaussian Noise (sigma = 0.5)_mean,48.12	+/- 0.41,71.44	+/- 0.28,23.46	+/- 0.19
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Rademacher Noise_mean,50.15	+/- 0.57,69.48	+/- 0.31,22.19	+/- 0.19
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Blob_mean,53.90	+/- 0.80,75.47	+/- 0.22,28.42	+/- 0.28
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Textures_mean,69.62	+/- 0.96,74.05	+/- 0.45,33.19	+/- 0.74
cifar100_wrn_EL2N_10_rate_0.3,cifar100,SVHN_mean,62.50	+/- 0.56,75.45	+/- 0.24,33.83	+/- 0.37
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Places365_mean,62.46	+/- 1.26,75.26	+/- 0.45,33.43	+/- 0.65
cifar100_wrn_EL2N_10_rate_0.3,cifar100,LSUN_crop_mean,46.69	+/- 0.88,85.82	+/- 0.19,57.55	+/- 0.49
cifar100_wrn_EL2N_10_rate_0.3,cifar100,LSUN_resize_mean,61.34	+/- 0.95,76.00	+/- 0.30,33.80	+/- 0.47
cifar100_wrn_EL2N_10_rate_0.3,cifar100,CIFAR-100_mean,63.92	+/- 1.12,75.40	+/- 0.41,33.75	+/- 0.62
cifar100_wrn_EL2N_10_rate_0.3,cifar100,mean,57.632555555555555,75.37418713888889,33.291193754923356
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Error Detection,43.86519220642444,86.61578276157256,64.58813295082258
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Gaussian Noise (sigma = 0.5)_mean,41.27	+/- 0.39,78.61	+/- 0.28,30.03	+/- 0.34
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Rademacher Noise_mean,42.11	+/- 0.62,76.80	+/- 0.19,27.57	+/- 0.17
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Blob_mean,58.89	+/- 0.62,73.78	+/- 0.37,27.63	+/- 0.24
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Textures_mean,70.44	+/- 1.43,74.11	+/- 0.39,33.21	+/- 0.39
cifar100_wrn_EL2N_20_rate_0.3,cifar100,SVHN_mean,64.78	+/- 1.01,74.56	+/- 0.30,33.45	+/- 0.45
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Places365_mean,65.05	+/- 1.04,74.24	+/- 0.38,33.07	+/- 0.62
cifar100_wrn_EL2N_20_rate_0.3,cifar100,LSUN_crop_mean,45.53	+/- 0.82,86.48	+/- 0.19,59.33	+/- 0.56
cifar100_wrn_EL2N_20_rate_0.3,cifar100,LSUN_resize_mean,65.79	+/- 1.30,73.97	+/- 0.31,32.21	+/- 0.47
cifar100_wrn_EL2N_20_rate_0.3,cifar100,CIFAR-100_mean,64.44	+/- 1.31,75.20	+/- 0.36,33.78	+/- 0.50
cifar100_wrn_EL2N_20_rate_0.3,cifar100,mean,57.5868888888889,76.41620722222223,34.47660162162086
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Error Detection,42.39417989417989,86.7338965868679,64.52894603398525
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Gaussian Noise (sigma = 0.5)_mean,52.40	+/- 0.47,67.71	+/- 0.23,21.25	+/- 0.13
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Rademacher Noise_mean,38.78	+/- 0.42,80.07	+/- 0.31,31.35	+/- 0.35
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Blob_mean,61.77	+/- 0.91,72.78	+/- 0.38,26.83	+/- 0.36
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Textures_mean,70.62	+/- 1.30,74.00	+/- 0.34,33.45	+/- 0.69
cifar100_wrn_EL2N_10_rate_0.5,cifar100,SVHN_mean,70.17	+/- 0.63,71.70	+/- 0.51,30.75	+/- 0.63
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Places365_mean,69.42	+/- 0.74,71.68	+/- 0.56,30.61	+/- 0.75
cifar100_wrn_EL2N_10_rate_0.5,cifar100,LSUN_crop_mean,48.45	+/- 1.85,85.23	+/- 0.32,56.21	+/- 0.52
cifar100_wrn_EL2N_10_rate_0.5,cifar100,LSUN_resize_mean,64.77	+/- 1.58,74.64	+/- 0.47,32.97	+/- 0.52
cifar100_wrn_EL2N_10_rate_0.5,cifar100,CIFAR-100_mean,65.52	+/- 1.28,75.03	+/- 0.52,33.83	+/- 0.76
cifar100_wrn_EL2N_10_rate_0.5,cifar100,mean,60.21166666666667,74.76126586111111,33.02859794463405
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Error Detection,43.335962145110415,86.26742576903736,63.225408133542494
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Gaussian Noise (sigma = 0.5)_mean,48.93	+/- 0.41,71.01	+/- 0.30,23.26	+/- 0.21
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Rademacher Noise_mean,36.96	+/- 0.54,81.67	+/- 0.21,33.38	+/- 0.34
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Blob_mean,60.88	+/- 1.26,73.61	+/- 0.53,27.93	+/- 0.46
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Textures_mean,69.33	+/- 1.64,74.55	+/- 0.33,33.91	+/- 0.27
cifar100_wrn_EL2N_20_rate_0.5,cifar100,SVHN_mean,71.47	+/- 0.72,71.06	+/- 0.30,30.11	+/- 0.41
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Places365_mean,71.01	+/- 0.98,71.17	+/- 0.33,30.06	+/- 0.55
cifar100_wrn_EL2N_20_rate_0.5,cifar100,LSUN_crop_mean,45.43	+/- 1.06,86.66	+/- 0.37,59.87	+/- 0.94
cifar100_wrn_EL2N_20_rate_0.5,cifar100,LSUN_resize_mean,63.04	+/- 0.93,75.46	+/- 0.42,33.78	+/- 0.36
cifar100_wrn_EL2N_20_rate_0.5,cifar100,CIFAR-100_mean,64.59	+/- 0.59,75.34	+/- 0.38,34.15	+/- 0.70
cifar100_wrn_EL2N_20_rate_0.5,cifar100,mean,59.06977777777777,75.61329008333334,34.04830094503822
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Error Detection,42.75256222547584,86.80811456095053,65.6233109630867
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Gaussian Noise (sigma = 0.5)_mean,60.45	+/- 0.42,57.25	+/- 0.16,16.94	+/- 0.05
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Rademacher Noise_mean,44.16	+/- 0.41,76.42	+/- 0.08,27.39	+/- 0.06
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Blob_mean,60.67	+/- 1.42,73.23	+/- 0.55,27.56	+/- 0.51
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Textures_mean,72.06	+/- 1.36,73.10	+/- 0.54,31.80	+/- 0.69
cifar100_wrn_EL2N_10_rate_0.7,cifar100,SVHN_mean,70.73	+/- 1.15,70.03	+/- 0.56,28.27	+/- 0.54
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Places365_mean,70.42	+/- 0.91,70.15	+/- 0.44,28.60	+/- 0.48
cifar100_wrn_EL2N_10_rate_0.7,cifar100,LSUN_crop_mean,50.43	+/- 1.01,84.59	+/- 0.20,53.95	+/- 0.69
cifar100_wrn_EL2N_10_rate_0.7,cifar100,LSUN_resize_mean,63.18	+/- 0.78,75.76	+/- 0.25,34.30	+/- 0.27
cifar100_wrn_EL2N_10_rate_0.7,cifar100,CIFAR-100_mean,64.98	+/- 0.85,75.40	+/- 0.33,33.93	+/- 0.47
cifar100_wrn_EL2N_10_rate_0.7,cifar100,mean,61.89755555555556,72.88129963888889,31.416056382896436
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Error Detection,43.525036525434984,86.62196178822165,64.70069102970986
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Gaussian Noise (sigma = 0.5)_mean,57.39	+/- 0.38,61.91	+/- 0.25,18.55	+/- 0.10
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Rademacher Noise_mean,43.10	+/- 0.67,77.91	+/- 0.25,28.95	+/- 0.27
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Blob_mean,63.75	+/- 1.14,72.29	+/- 0.44,27.20	+/- 0.45
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Textures_mean,71.45	+/- 1.42,73.82	+/- 0.54,32.73	+/- 0.71
cifar100_wrn_EL2N_20_rate_0.7,cifar100,SVHN_mean,68.14	+/- 0.94,72.34	+/- 0.32,30.61	+/- 0.36
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Places365_mean,67.45	+/- 0.81,72.58	+/- 0.44,30.91	+/- 0.48
cifar100_wrn_EL2N_20_rate_0.7,cifar100,LSUN_crop_mean,50.11	+/- 1.69,85.38	+/- 0.35,57.07	+/- 0.46
cifar100_wrn_EL2N_20_rate_0.7,cifar100,LSUN_resize_mean,65.29	+/- 1.22,74.54	+/- 0.26,32.84	+/- 0.39
cifar100_wrn_EL2N_20_rate_0.7,cifar100,CIFAR-100_mean,65.02	+/- 1.26,75.28	+/- 0.44,34.01	+/- 0.60
cifar100_wrn_EL2N_20_rate_0.7,cifar100,mean,61.29822222222221,74.00546913888888,32.541279151606986
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Error Detection,43.43527550751384,86.53172153998416,64.76254886262033
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Gaussian Noise (sigma = 0.5)_mean,51.79	+/- 0.31,67.40	+/- 0.17,21.02	+/- 0.09
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Rademacher Noise_mean,50.36	+/- 0.39,69.34	+/- 0.22,22.13	+/- 0.13
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Blob_mean,54.49	+/- 0.57,75.42	+/- 0.30,28.48	+/- 0.36
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Textures_mean,70.11	+/- 1.05,73.95	+/- 0.36,32.98	+/- 0.50
cifar100_wrn_EL2N_10_rate_0.3,cifar100,SVHN_mean,63.34	+/- 0.82,74.99	+/- 0.37,33.14	+/- 0.38
cifar100_wrn_EL2N_10_rate_0.3,cifar100,Places365_mean,63.42	+/- 1.04,74.91	+/- 0.49,33.08	+/- 0.66
cifar100_wrn_EL2N_10_rate_0.3,cifar100,LSUN_crop_mean,46.88	+/- 1.47,85.80	+/- 0.27,57.54	+/- 0.59
cifar100_wrn_EL2N_10_rate_0.3,cifar100,LSUN_resize_mean,60.95	+/- 1.13,75.86	+/- 0.36,33.40	+/- 0.40
cifar100_wrn_EL2N_10_rate_0.3,cifar100,TinyImageNet_crop_mean,44.31	+/- 0.98,86.00	+/- 0.25,56.02	+/- 0.59
cifar100_wrn_EL2N_10_rate_0.3,cifar100,TinyImageNet_resize_mean,64.29	+/- 1.32,74.96	+/- 0.41,33.17	+/- 0.58
cifar100_wrn_EL2N_10_rate_0.3,cifar100,CIFAR-100_mean,64.20	+/- 1.06,75.35	+/- 0.47,33.78	+/- 0.62
cifar100_wrn_EL2N_10_rate_0.3,cifar100,mean,57.64836363636364,75.81703556818181,34.97665398606781
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Error Detection,43.33113890717578,86.6032226585222,64.41551302891956
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Gaussian Noise (sigma = 0.5)_mean,44.73	+/- 0.35,74.35	+/- 0.27,25.68	+/- 0.22
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Rademacher Noise_mean,44.05	+/- 0.61,75.34	+/- 0.20,26.34	+/- 0.17
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Blob_mean,60.12	+/- 0.76,73.31	+/- 0.31,27.42	+/- 0.25
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Textures_mean,71.98	+/- 1.29,73.97	+/- 0.52,33.10	+/- 0.88
cifar100_wrn_EL2N_20_rate_0.3,cifar100,SVHN_mean,65.41	+/- 0.88,74.31	+/- 0.39,33.26	+/- 0.52
cifar100_wrn_EL2N_20_rate_0.3,cifar100,Places365_mean,65.31	+/- 0.77,74.41	+/- 0.40,33.31	+/- 0.44
cifar100_wrn_EL2N_20_rate_0.3,cifar100,LSUN_crop_mean,46.13	+/- 1.45,86.35	+/- 0.36,59.08	+/- 0.62
cifar100_wrn_EL2N_20_rate_0.3,cifar100,LSUN_resize_mean,67.00	+/- 1.36,73.32	+/- 0.60,31.36	+/- 0.75
cifar100_wrn_EL2N_20_rate_0.3,cifar100,TinyImageNet_crop_mean,43.93	+/- 0.71,86.21	+/- 0.22,56.63	+/- 0.39
cifar100_wrn_EL2N_20_rate_0.3,cifar100,TinyImageNet_resize_mean,67.53	+/- 2.34,73.39	+/- 0.68,31.99	+/- 0.66
cifar100_wrn_EL2N_20_rate_0.3,cifar100,CIFAR-100_mean,63.96	+/- 1.24,75.42	+/- 0.39,33.75	+/- 0.64
cifar100_wrn_EL2N_20_rate_0.3,cifar100,mean,58.1949090909091,76.39787322727273,35.629385123057205
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Error Detection,42.64395139989435,86.6376089921161,63.76657231608878
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Gaussian Noise (sigma = 0.5)_mean,52.40	+/- 0.27,67.59	+/- 0.17,21.18	+/- 0.10
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Rademacher Noise_mean,42.00	+/- 0.54,77.45	+/- 0.20,28.53	+/- 0.20
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Blob_mean,60.39	+/- 1.29,73.48	+/- 0.53,27.50	+/- 0.45
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Textures_mean,70.35	+/- 1.22,74.13	+/- 0.30,33.87	+/- 0.45
cifar100_wrn_EL2N_10_rate_0.5,cifar100,SVHN_mean,69.04	+/- 0.63,71.61	+/- 0.51,30.94	+/- 0.74
cifar100_wrn_EL2N_10_rate_0.5,cifar100,Places365_mean,69.69	+/- 0.53,71.51	+/- 0.49,30.60	+/- 0.62
cifar100_wrn_EL2N_10_rate_0.5,cifar100,LSUN_crop_mean,47.76	+/- 0.86,85.45	+/- 0.27,56.98	+/- 0.79
cifar100_wrn_EL2N_10_rate_0.5,cifar100,LSUN_resize_mean,64.91	+/- 1.07,74.26	+/- 0.30,32.44	+/- 0.61
cifar100_wrn_EL2N_10_rate_0.5,cifar100,TinyImageNet_crop_mean,44.43	+/- 0.77,86.40	+/- 0.14,57.74	+/- 0.33
cifar100_wrn_EL2N_10_rate_0.5,cifar100,TinyImageNet_resize_mean,68.02	+/- 0.56,72.96	+/- 0.43,32.04	+/- 0.53
cifar100_wrn_EL2N_10_rate_0.5,cifar100,CIFAR-100_mean,65.35	+/- 1.66,74.85	+/- 0.37,33.54	+/- 0.51
cifar100_wrn_EL2N_10_rate_0.5,cifar100,mean,59.486363636363635,75.42614461363635,35.034185540178605
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Error Detection,43.46796474148139,86.34674009842391,63.31600339398998
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Gaussian Noise (sigma = 0.5)_mean,48.26	+/- 0.64,72.15	+/- 0.24,24.01	+/- 0.16
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Rademacher Noise_mean,34.52	+/- 0.29,83.80	+/- 0.19,36.92	+/- 0.41
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Blob_mean,60.98	+/- 1.37,73.57	+/- 0.46,28.00	+/- 0.37
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Textures_mean,70.16	+/- 1.12,74.28	+/- 0.52,33.54	+/- 0.70
cifar100_wrn_EL2N_20_rate_0.5,cifar100,SVHN_mean,70.14	+/- 1.07,71.67	+/- 0.37,30.64	+/- 0.57
cifar100_wrn_EL2N_20_rate_0.5,cifar100,Places365_mean,70.56	+/- 0.45,71.56	+/- 0.21,30.54	+/- 0.48
cifar100_wrn_EL2N_20_rate_0.5,cifar100,LSUN_crop_mean,47.14	+/- 1.39,86.28	+/- 0.35,59.37	+/- 0.79
cifar100_wrn_EL2N_20_rate_0.5,cifar100,LSUN_resize_mean,62.62	+/- 0.96,75.52	+/- 0.46,33.52	+/- 0.70
cifar100_wrn_EL2N_20_rate_0.5,cifar100,TinyImageNet_crop_mean,43.73	+/- 0.79,86.59	+/- 0.31,57.42	+/- 0.70
cifar100_wrn_EL2N_20_rate_0.5,cifar100,TinyImageNet_resize_mean,65.37	+/- 1.30,74.43	+/- 0.47,32.75	+/- 0.60
cifar100_wrn_EL2N_20_rate_0.5,cifar100,CIFAR-100_mean,64.46	+/- 1.30,75.38	+/- 0.28,33.93	+/- 0.48
cifar100_wrn_EL2N_20_rate_0.5,cifar100,mean,57.99427272727272,76.8371603409091,36.42180265940584
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Error Detection,42.77364505844846,86.7375686326603,65.13364841384205
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Gaussian Noise (sigma = 0.5)_mean,59.58	+/- 0.26,58.87	+/- 0.22,17.45	+/- 0.07
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Rademacher Noise_mean,42.72	+/- 0.66,77.15	+/- 0.20,27.95	+/- 0.16
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Blob_mean,61.01	+/- 1.20,73.50	+/- 0.40,28.06	+/- 0.47
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Textures_mean,72.56	+/- 1.24,73.10	+/- 0.30,31.72	+/- 0.36
cifar100_wrn_EL2N_10_rate_0.7,cifar100,SVHN_mean,71.86	+/- 0.90,69.64	+/- 0.46,28.23	+/- 0.62
cifar100_wrn_EL2N_10_rate_0.7,cifar100,Places365_mean,70.91	+/- 1.18,70.17	+/- 0.59,28.56	+/- 0.86
cifar100_wrn_EL2N_10_rate_0.7,cifar100,LSUN_crop_mean,49.26	+/- 0.72,84.74	+/- 0.29,54.08	+/- 0.82
cifar100_wrn_EL2N_10_rate_0.7,cifar100,LSUN_resize_mean,63.40	+/- 0.72,75.30	+/- 0.40,33.52	+/- 0.55
cifar100_wrn_EL2N_10_rate_0.7,cifar100,TinyImageNet_crop_mean,45.52	+/- 0.47,85.81	+/- 0.24,55.69	+/- 0.66
cifar100_wrn_EL2N_10_rate_0.7,cifar100,TinyImageNet_resize_mean,65.27	+/- 1.18,74.39	+/- 0.36,32.73	+/- 0.58
cifar100_wrn_EL2N_10_rate_0.7,cifar100,CIFAR-100_mean,64.68	+/- 1.44,75.56	+/- 0.42,34.21	+/- 0.59
cifar100_wrn_EL2N_10_rate_0.7,cifar100,mean,60.61518181818181,74.38432968181819,33.83598228357645
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Error Detection,43.67785591083986,86.61743761228607,64.1644577979582
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Gaussian Noise (sigma = 0.5)_mean,51.12	+/- 0.62,68.79	+/- 0.27,21.81	+/- 0.15
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Rademacher Noise_mean,40.59	+/- 0.63,79.48	+/- 0.21,30.66	+/- 0.22
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Blob_mean,63.83	+/- 1.09,72.13	+/- 0.34,27.07	+/- 0.34
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Textures_mean,70.92	+/- 1.57,73.75	+/- 0.44,32.48	+/- 0.67
cifar100_wrn_EL2N_20_rate_0.7,cifar100,SVHN_mean,66.97	+/- 0.84,72.93	+/- 0.49,31.01	+/- 0.55
cifar100_wrn_EL2N_20_rate_0.7,cifar100,Places365_mean,66.82	+/- 1.02,73.04	+/- 0.42,31.24	+/- 0.55
cifar100_wrn_EL2N_20_rate_0.7,cifar100,LSUN_crop_mean,50.64	+/- 0.60,85.34	+/- 0.23,57.23	+/- 0.53
cifar100_wrn_EL2N_20_rate_0.7,cifar100,LSUN_resize_mean,63.87	+/- 1.21,74.82	+/- 0.43,32.73	+/- 0.40
cifar100_wrn_EL2N_20_rate_0.7,cifar100,TinyImageNet_crop_mean,44.91	+/- 0.90,86.22	+/- 0.13,56.35	+/- 0.50
cifar100_wrn_EL2N_20_rate_0.7,cifar100,TinyImageNet_resize_mean,65.60	+/- 0.86,74.36	+/- 0.29,32.89	+/- 0.42
cifar100_wrn_EL2N_20_rate_0.7,cifar100,CIFAR-100_mean,65.80	+/- 0.68,75.23	+/- 0.36,33.94	+/- 0.41
cifar100_wrn_EL2N_20_rate_0.7,cifar100,mean,59.18681818181819,76.00852561363637,35.21956644168306
