method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar100_res18_EL2Nscratch_rate_0,cifar100,Error Detection,47.472342809130375,85.24539850105694,67.02605621998833
cifar100_res18_EL2Nscratch_rate_0,cifar100,Gaussian Noise (sigma = 0.5)_mean,60.20	+/- 0.35,52.65	+/- 0.13,15.80	+/- 0.03
cifar100_res18_EL2Nscratch_rate_0,cifar100,Rademacher Noise_mean,45.84	+/- 0.42,70.37	+/- 0.20,22.60	+/- 0.14
cifar100_res18_EL2Nscratch_rate_0,cifar100,Blob_mean,49.30	+/- 0.49,79.03	+/- 0.24,33.33	+/- 0.38
cifar100_res18_EL2Nscratch_rate_0,cifar100,Textures_mean,74.00	+/- 1.04,72.17	+/- 0.21,31.40	+/- 0.28
cifar100_res18_EL2Nscratch_rate_0,cifar100,SVHN_mean,49.84	+/- 1.07,83.07	+/- 0.36,48.12	+/- 0.68
cifar100_res18_EL2Nscratch_rate_0,cifar100,Places365_mean,49.65	+/- 0.63,83.01	+/- 0.25,48.23	+/- 0.59
cifar100_res18_EL2Nscratch_rate_0,cifar100,LSUN_crop_mean,52.41	+/- 1.46,83.03	+/- 0.31,49.62	+/- 0.48
cifar100_res18_EL2Nscratch_rate_0,cifar100,LSUN_resize_mean,67.34	+/- 1.24,73.43	+/- 0.40,33.90	+/- 0.41
cifar100_res18_EL2Nscratch_rate_0,cifar100,TinyImageNet_crop_mean,52.38	+/- 0.89,83.20	+/- 0.21,49.88	+/- 0.54
cifar100_res18_EL2Nscratch_rate_0,cifar100,TinyImageNet_resize_mean,69.49	+/- 1.05,72.22	+/- 0.38,31.95	+/- 0.55
cifar100_res18_EL2Nscratch_rate_0,cifar100,CIFAR-100_mean,70.76	+/- 1.32,72.76	+/- 0.28,31.34	+/- 0.63
cifar100_res18_EL2Nscratch_rate_0,cifar100,mean,58.292909090909085,74.99495588636364,36.01598239499036
