method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,Error Detection,30.83816552451239,92.5071267356224,45.0578239093215
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,Gaussian Noise (sigma = 0.5)_mean,18.69	+/- 0.71,92.90	+/- 0.14,62.37	+/- 0.34
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,Rademacher Noise_mean,48.05	+/- 2.86,80.51	+/- 0.45,32.39	+/- 0.40
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,Blob_mean,17.32	+/- 0.72,94.45	+/- 0.15,74.62	+/- 0.52
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,Textures_mean,29.52	+/- 2.19,92.18	+/- 0.20,72.40	+/- 0.31
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,SVHN_mean,12.51	+/- 0.49,95.44	+/- 0.20,77.12	+/- 0.32
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,Places365_mean,12.42	+/- 0.35,95.57	+/- 0.16,77.50	+/- 0.32
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,LSUN_crop_mean,9.79	+/- 0.42,97.35	+/- 0.05,87.03	+/- 0.21
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,LSUN_resize_mean,16.82	+/- 0.63,95.06	+/- 0.15,79.55	+/- 0.37
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,CIFAR-100_mean,59.87	+/- 3.34,87.51	+/- 0.27,61.50	+/- 0.46
cifar10_resnet18_infobatch_10_rate_0.3,cifar10,mean,24.99855555555556,92.33103525000001,69.38743889981241
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,Error Detection,29.554314613844696,92.41658781693506,44.293368934293945
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,Gaussian Noise (sigma = 0.5)_mean,15.15	+/- 0.56,94.44	+/- 0.13,68.37	+/- 0.34
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,Rademacher Noise_mean,33.30	+/- 2.03,84.80	+/- 0.26,37.49	+/- 0.27
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,Blob_mean,15.88	+/- 0.59,94.72	+/- 0.13,74.64	+/- 0.43
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,Textures_mean,29.57	+/- 2.54,92.26	+/- 0.25,73.11	+/- 0.44
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,SVHN_mean,12.95	+/- 0.72,95.34	+/- 0.23,76.68	+/- 0.42
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,Places365_mean,12.71	+/- 0.41,95.47	+/- 0.18,76.88	+/- 0.41
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,LSUN_crop_mean,10.30	+/- 0.27,97.19	+/- 0.11,86.24	+/- 0.40
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,LSUN_resize_mean,16.34	+/- 0.54,95.23	+/- 0.16,80.11	+/- 0.28
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,CIFAR-100_mean,60.01	+/- 2.38,87.74	+/- 0.32,61.94	+/- 1.04
cifar10_resnet18_infobatch_20_rate_0.3,cifar10,mean,22.911444444444445,93.02019519444445,70.60800531463308
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,Error Detection,28.333509012332662,92.47170283907535,44.44736064443777
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,Gaussian Noise (sigma = 0.5)_mean,16.09	+/- 0.35,93.85	+/- 0.12,65.73	+/- 0.35
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,Rademacher Noise_mean,39.96	+/- 1.56,82.89	+/- 0.16,35.04	+/- 0.15
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,Blob_mean,19.05	+/- 0.81,93.71	+/- 0.24,72.19	+/- 0.59
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,Textures_mean,29.16	+/- 1.95,92.33	+/- 0.22,72.80	+/- 0.35
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,SVHN_mean,12.80	+/- 0.76,95.63	+/- 0.13,78.71	+/- 0.28
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,Places365_mean,12.71	+/- 0.63,95.76	+/- 0.18,78.88	+/- 0.45
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,LSUN_crop_mean,9.98	+/- 0.33,97.29	+/- 0.10,86.53	+/- 0.37
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,LSUN_resize_mean,17.04	+/- 0.92,95.03	+/- 0.19,79.06	+/- 0.56
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,CIFAR-100_mean,57.92	+/- 4.19,87.78	+/- 0.34,61.64	+/- 0.50
cifar10_resnet18_infobatch_10_rate_0.5,cifar10,mean,23.857444444444447,92.69607530555555,70.06356942133509
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,Error Detection,28.607541605224352,92.4461548837585,43.66837469210771
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,Gaussian Noise (sigma = 0.5)_mean,14.74	+/- 0.45,94.39	+/- 0.11,67.52	+/- 0.41
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,Rademacher Noise_mean,35.01	+/- 1.29,84.11	+/- 0.22,36.45	+/- 0.22
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,Blob_mean,16.52	+/- 0.59,94.47	+/- 0.16,74.01	+/- 0.32
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,Textures_mean,29.78	+/- 1.75,92.24	+/- 0.24,73.14	+/- 0.46
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,SVHN_mean,12.72	+/- 0.36,95.47	+/- 0.14,77.23	+/- 0.42
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,Places365_mean,12.36	+/- 0.60,95.55	+/- 0.19,77.54	+/- 0.45
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,LSUN_crop_mean,10.46	+/- 0.34,97.16	+/- 0.09,86.20	+/- 0.28
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,LSUN_resize_mean,16.25	+/- 0.54,95.25	+/- 0.18,80.16	+/- 0.25
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,CIFAR-100_mean,60.33	+/- 2.52,87.64	+/- 0.24,61.87	+/- 0.55
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,mean,23.130222222222223,92.91959150000001,70.45817595660245
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,Error Detection,28.009698503057134,92.61793542152226,45.40366028631959
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,Gaussian Noise (sigma = 0.5)_mean,17.90	+/- 0.49,93.00	+/- 0.14,62.33	+/- 0.43
