method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar10_resnet18_EL2N_rate_0.3,cifar10,Error Detection,22.810526315789474,93.6602,42.63978849441262
cifar10_resnet18_EL2N_rate_0.3,cifar10,Gaussian Noise (sigma = 0.5)_mean,31.16	+/- 0.78,86.41	+/- 0.15,41.96	+/- 0.34
cifar10_resnet18_EL2N_rate_0.3,cifar10,Rademacher Noise_mean,37.86	+/- 0.72,79.46	+/- 0.20,29.82	+/- 0.17
cifar10_resnet18_EL2N_rate_0.3,cifar10,Blob_mean,22.38	+/- 0.86,92.81	+/- 0.21,68.20	+/- 0.47
cifar10_resnet18_EL2N_rate_0.3,cifar10,Textures_mean,28.54	+/- 1.06,90.98	+/- 0.17,63.42	+/- 0.29
cifar10_resnet18_EL2N_rate_0.3,cifar10,SVHN_mean,16.10	+/- 0.53,94.72	+/- 0.13,74.09	+/- 0.57
cifar10_resnet18_EL2N_rate_0.3,cifar10,Places365_mean,16.06	+/- 0.63,94.75	+/- 0.15,74.23	+/- 0.54
cifar10_resnet18_EL2N_rate_0.3,cifar10,LSUN_crop_mean,17.24	+/- 0.44,94.14	+/- 0.12,72.17	+/- 0.41
cifar10_resnet18_EL2N_rate_0.3,cifar10,LSUN_resize_mean,20.80	+/- 0.79,93.48	+/- 0.18,71.31	+/- 0.48
cifar10_resnet18_EL2N_rate_0.3,cifar10,CIFAR-100_mean,42.28	+/- 2.00,88.04	+/- 0.27,56.98	+/- 0.55
cifar10_resnet18_EL2N_rate_0.3,cifar10,mean,25.824,90.53251144444445,61.35522120562599
cifar10_resnet18_loss_rate_0.3,cifar10,Error Detection,21.252631578947366,93.90422105263158,43.37733792196617
cifar10_resnet18_loss_rate_0.3,cifar10,Gaussian Noise (sigma = 0.5)_mean,37.87	+/- 0.88,84.21	+/- 0.23,38.36	+/- 0.38
cifar10_resnet18_loss_rate_0.3,cifar10,Rademacher Noise_mean,48.51	+/- 1.00,74.79	+/- 0.25,25.99	+/- 0.18
cifar10_resnet18_loss_rate_0.3,cifar10,Blob_mean,21.24	+/- 0.45,93.14	+/- 0.06,69.00	+/- 0.42
cifar10_resnet18_loss_rate_0.3,cifar10,Textures_mean,27.20	+/- 1.02,91.41	+/- 0.20,64.55	+/- 0.63
cifar10_resnet18_loss_rate_0.3,cifar10,SVHN_mean,16.17	+/- 0.82,94.82	+/- 0.14,75.14	+/- 0.36
cifar10_resnet18_loss_rate_0.3,cifar10,Places365_mean,16.05	+/- 0.83,94.78	+/- 0.12,75.05	+/- 0.34
cifar10_resnet18_loss_rate_0.3,cifar10,LSUN_crop_mean,15.55	+/- 0.43,94.72	+/- 0.15,74.35	+/- 0.55
cifar10_resnet18_loss_rate_0.3,cifar10,LSUN_resize_mean,19.52	+/- 0.59,93.85	+/- 0.21,72.49	+/- 0.68
cifar10_resnet18_loss_rate_0.3,cifar10,CIFAR-100_mean,40.90	+/- 2.89,88.17	+/- 0.37,56.92	+/- 0.82
cifar10_resnet18_loss_rate_0.3,cifar10,mean,27.001444444444445,89.9891498888889,61.3154064016477
cifar10_resnet18_EL2N_rate_0.5,cifar10,Error Detection,21.383449147188884,93.92897980619111,43.2948151744453
cifar10_resnet18_EL2N_rate_0.5,cifar10,Gaussian Noise (sigma = 0.5)_mean,33.78	+/- 1.00,84.93	+/- 0.27,39.06	+/- 0.54
cifar10_resnet18_EL2N_rate_0.5,cifar10,Rademacher Noise_mean,44.36	+/- 0.83,75.48	+/- 0.22,26.30	+/- 0.14
cifar10_resnet18_EL2N_rate_0.5,cifar10,Blob_mean,19.90	+/- 0.55,93.68	+/- 0.19,70.53	+/- 0.47
cifar10_resnet18_EL2N_rate_0.5,cifar10,Textures_mean,27.85	+/- 0.86,91.19	+/- 0.08,62.70	+/- 0.34
cifar10_resnet18_EL2N_rate_0.5,cifar10,SVHN_mean,15.94	+/- 0.57,94.85	+/- 0.09,73.53	+/- 0.33
cifar10_resnet18_EL2N_rate_0.5,cifar10,Places365_mean,15.76	+/- 0.61,94.82	+/- 0.18,73.48	+/- 0.69
cifar10_resnet18_EL2N_rate_0.5,cifar10,LSUN_crop_mean,16.27	+/- 0.46,94.36	+/- 0.12,72.31	+/- 0.25
cifar10_resnet18_EL2N_rate_0.5,cifar10,LSUN_resize_mean,21.05	+/- 0.42,93.49	+/- 0.17,70.93	+/- 0.62
cifar10_resnet18_EL2N_rate_0.5,cifar10,CIFAR-100_mean,39.13	+/- 1.65,88.32	+/- 0.29,56.72	+/- 0.54
cifar10_resnet18_EL2N_rate_0.5,cifar10,mean,26.003666666666664,90.12489383333333,60.61684746937844
cifar10_resnet18_loss_rate_0.5,cifar10,Error Detection,19.953645174884112,93.99797093947329,45.424463440575984
cifar10_resnet18_loss_rate_0.5,cifar10,Gaussian Noise (sigma = 0.5)_mean,40.21	+/- 0.77,82.72	+/- 0.20,35.76	+/- 0.32
cifar10_resnet18_loss_rate_0.5,cifar10,Rademacher Noise_mean,52.21	+/- 1.05,72.63	+/- 0.39,24.42	+/- 0.24
cifar10_resnet18_loss_rate_0.5,cifar10,Blob_mean,20.50	+/- 0.89,93.35	+/- 0.19,69.38	+/- 0.63
cifar10_resnet18_loss_rate_0.5,cifar10,Textures_mean,25.70	+/- 1.09,91.60	+/- 0.19,64.53	+/- 0.54
cifar10_resnet18_loss_rate_0.5,cifar10,SVHN_mean,14.92	+/- 0.54,95.08	+/- 0.10,75.42	+/- 0.55
cifar10_resnet18_loss_rate_0.5,cifar10,Places365_mean,15.01	+/- 0.66,95.04	+/- 0.15,75.19	+/- 0.47
cifar10_resnet18_loss_rate_0.5,cifar10,LSUN_crop_mean,15.80	+/- 0.22,94.57	+/- 0.14,73.77	+/- 0.67
cifar10_resnet18_loss_rate_0.5,cifar10,LSUN_resize_mean,20.93	+/- 0.62,93.27	+/- 0.17,70.34	+/- 0.69
cifar10_resnet18_loss_rate_0.5,cifar10,CIFAR-100_mean,41.20	+/- 2.37,88.21	+/- 0.34,57.07	+/- 0.64
cifar10_resnet18_loss_rate_0.5,cifar10,mean,27.388111111111108,89.60840536111111,60.65424758188526
cifar10_resnet18_EL2N_rate_0.7,cifar10,Error Detection,24.425711275026345,93.48667327837352,41.075340414323904
cifar10_resnet18_EL2N_rate_0.7,cifar10,Gaussian Noise (sigma = 0.5)_mean,47.32	+/- 1.04,79.58	+/- 0.28,31.95	+/- 0.28
cifar10_resnet18_EL2N_rate_0.7,cifar10,Rademacher Noise_mean,55.11	+/- 0.68,69.37	+/- 0.24,22.33	+/- 0.13
cifar10_resnet18_EL2N_rate_0.7,cifar10,Blob_mean,21.71	+/- 0.58,92.91	+/- 0.14,68.12	+/- 0.56
cifar10_resnet18_EL2N_rate_0.7,cifar10,Textures_mean,29.18	+/- 1.18,90.84	+/- 0.10,61.51	+/- 0.37
cifar10_resnet18_EL2N_rate_0.7,cifar10,SVHN_mean,16.81	+/- 0.70,94.66	+/- 0.14,73.64	+/- 0.62
cifar10_resnet18_EL2N_rate_0.7,cifar10,Places365_mean,16.67	+/- 0.62,94.65	+/- 0.13,73.38	+/- 0.57
cifar10_resnet18_EL2N_rate_0.7,cifar10,LSUN_crop_mean,16.68	+/- 0.18,94.14	+/- 0.09,71.73	+/- 0.55
cifar10_resnet18_EL2N_rate_0.7,cifar10,LSUN_resize_mean,21.21	+/- 0.65,93.38	+/- 0.15,70.22	+/- 0.44
