method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar100-wrn-moderate-r0.5,cifar100,Error Detection,48.99,85.51,69.03
cifar100-wrn-moderate-r0.5,cifar100,Gaussian Noise (sigma = 0.5)_mean,44.76	+/- 0.46,75.68	+/- 0.31,27.09	+/- 0.29
cifar100-wrn-moderate-r0.5,cifar100,Rademacher Noise_mean,59.35	+/- 0.35,51.87	+/- 0.24,15.65	+/- 0.05
cifar100-wrn-moderate-r0.5,cifar100,Blob_mean,66.61	+/- 0.48,65.86	+/- 0.31,21.65	+/- 0.22
cifar100-wrn-moderate-r0.5,cifar100,Textures_mean,73.38	+/- 0.39,69.16	+/- 0.32,26.75	+/- 0.28
cifar100-wrn-moderate-r0.5,cifar100,SVHN_mean,53.59	+/- 0.60,78.67	+/- 0.29,36.19	+/- 0.66
cifar100-wrn-moderate-r0.5,cifar100,Places365_mean,53.90	+/- 1.04,78.64	+/- 0.33,36.20	+/- 0.41
cifar100-wrn-moderate-r0.5,cifar100,LSUN_crop_mean,47.78	+/- 0.69,83.97	+/- 0.36,52.59	+/- 0.74
cifar100-wrn-moderate-r0.5,cifar100,LSUN_resize_mean,87.86	+/- 0.57,53.24	+/- 0.33,17.52	+/- 0.15
cifar100-wrn-moderate-r0.5,cifar100,TinyImageNet_crop_mean,49.88	+/- 0.85,83.71	+/- 0.18,51.70	+/- 0.70
cifar100-wrn-moderate-r0.5,cifar100,TinyImageNet_resize_mean,88.57	+/- 0.56,55.93	+/- 0.51,19.15	+/- 0.30
cifar100-wrn-moderate-r0.5,cifar100,CIFAR-100_mean,65.86	+/- 0.82,73.17	+/- 0.52,30.42	+/- 0.74
cifar100-wrn-moderate-r0.5,cifar100,mean,62.87,69.99,30.44
cifar100-wrn-moderate-r0.5,cifar100,mean,64.99,71.90,34.30
cifar100-res50-moderate,cifar100,Error Detection,45.14,86.00,70.22
cifar100-res50-moderate,cifar100,Gaussian Noise (sigma = 0.5)_mean,52.23	+/- 0.32,70.86	+/- 0.23,23.47	+/- 0.16
cifar100-res50-moderate,cifar100,Rademacher Noise_mean,64.35	+/- 0.24,46.66	+/- 0.13,14.46	+/- 0.03
cifar100-res50-moderate,cifar100,Blob_mean,35.94	+/- 0.49,88.21	+/- 0.25,52.76	+/- 0.83
cifar100-res50-moderate,cifar100,Textures_mean,74.61	+/- 1.10,68.31	+/- 0.31,26.21	+/- 0.29
cifar100-res50-moderate,cifar100,SVHN_mean,52.06	+/- 0.98,80.97	+/- 0.18,41.40	+/- 0.44
cifar100-res50-moderate,cifar100,Places365_mean,52.59	+/- 0.63,80.79	+/- 0.33,41.11	+/- 0.73
cifar100-res50-moderate,cifar100,LSUN_crop_mean,52.76	+/- 0.60,80.79	+/- 0.36,44.85	+/- 0.76
cifar100-res50-moderate,cifar100,LSUN_resize_mean,81.61	+/- 1.01,62.92	+/- 0.46,23.14	+/- 0.34
cifar100-res50-moderate,cifar100,TinyImageNet_crop_mean,54.82	+/- 1.11,81.70	+/- 0.43,48.04	+/- 0.91
cifar100-res50-moderate,cifar100,TinyImageNet_resize_mean,84.12	+/- 0.65,62.64	+/- 0.46,23.57	+/- 0.36
cifar100-res50-moderate,cifar100,CIFAR-100_mean,66.98	+/- 1.28,73.29	+/- 0.48,30.87	+/- 0.66
cifar100-res50-moderate,cifar100,mean,61.10,72.47,33.63
cifar100-res50-moderate,cifar100,mean,64.65,74.02,35.47
