method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar10_resnet18_EL2N_rate_0.3,cifar10,Error Detection,31.154636944053678,92.76830827387657,51.128413390201345
cifar10_resnet18_EL2N_rate_0.3,cifar10,Gaussian Noise (sigma = 0.5)_mean,37.79	+/- 1.13,87.87	+/- 0.26,53.72	+/- 0.70
cifar10_resnet18_EL2N_rate_0.3,cifar10,Rademacher Noise_mean,37.60	+/- 1.33,88.02	+/- 0.25,54.08	+/- 0.65
cifar10_resnet18_EL2N_rate_0.3,cifar10,Blob_mean,36.85	+/- 1.45,88.02	+/- 0.23,53.77	+/- 0.45
cifar10_resnet18_baseline_rate_0,cifar10,Error Detection,31.184802898869002,91.1524133079522,50.424974443386425
cifar10_resnet18_baseline_rate_0,cifar10,Gaussian Noise (sigma = 0.5)_mean,40.73	+/- 1.79,86.52	+/- 0.27,50.80	+/- 0.71
cifar10_resnet18_baseline_rate_0,cifar10,Rademacher Noise_mean,41.45	+/- 1.60,86.29	+/- 0.26,50.39	+/- 0.38
cifar10_resnet18_baseline_rate_0,cifar10,Blob_mean,41.09	+/- 1.19,86.32	+/- 0.24,50.32	+/- 0.39
cifar10_resnet18_oe_rate_0,cifar10,Error Detection,35.316066725197544,89.96820226174376,45.83535608384626
cifar10_resnet18_oe_rate_0,cifar10,Gaussian Noise (sigma = 0.5)_mean,47.70	+/- 1.24,82.33	+/- 0.23,36.98	+/- 0.27
cifar10_resnet18_oe_rate_0,cifar10,Rademacher Noise_mean,47.82	+/- 1.41,82.29	+/- 0.22,37.09	+/- 0.31
cifar10_resnet18_oe_rate_0,cifar10,Blob_mean,49.59	+/- 1.82,81.38	+/- 0.29,35.73	+/- 0.26
cifar10_resnet18_baseline_rate_0,cifar10,Textures_mean,53.64	+/- 1.95,83.95	+/- 0.31,49.11	+/- 0.61
cifar10_resnet18_baseline_rate_0,cifar10,SVHN_mean,49.99	+/- 1.16,84.01	+/- 0.21,46.16	+/- 0.61
cifar10_resnet18_baseline_rate_0,cifar10,Places365_mean,49.34	+/- 1.42,84.12	+/- 0.30,46.39	+/- 0.68
cifar10_resnet18_oe_rate_0,cifar10,Error Detection,35.316066725197544,89.96820226174376,45.83535608384626
cifar10_resnet18_oe_rate_0,cifar10,Gaussian Noise (sigma = 0.5)_mean,47.26	+/- 1.63,82.44	+/- 0.18,37.21	+/- 0.27
cifar10_resnet18_baseline_rate_0,cifar10,LSUN_crop_mean,50.00	+/- 1.35,84.90	+/- 0.21,49.45	+/- 0.44
cifar10_resnet18_baseline_rate_0,cifar10,LSUN_resize_mean,50.63	+/- 1.79,83.68	+/- 0.40,45.75	+/- 0.78
cifar10_resnet18_baseline_rate_0,cifar10,CIFAR-100_mean,61.23	+/- 2.49,80.74	+/- 0.46,41.21	+/- 0.67
cifar10_resnet18_baseline_rate_0,cifar10,mean,48.67666666666668,84.50292602777778,47.729177108978035
cifar10_resnet18_oe_rate_0,cifar10,Error Detection,19.86489339244247,94.0527246472435,43.942714536915126
cifar10_resnet18_oe_rate_0,cifar10,Gaussian Noise (sigma = 0.5)_mean,0.00	+/- 0.00,100.00	+/- 0.00,100.00	+/- 0.00
cifar10_resnet18_oe_rate_0,cifar10,Rademacher Noise_mean,0.00	+/- 0.00,100.00	+/- 0.00,100.00	+/- 0.00
cifar10_resnet18_baseline_rate_0,cifar10,Error Detection,31.179896462467642,91.40533889104856,42.54363486382683
cifar10_resnet18_baseline_rate_0,cifar10,Gaussian Noise (sigma = 0.5)_mean,30.91	+/- 0.99,85.15	+/- 0.18,38.41	+/- 0.34
cifar10_resnet18_baseline_rate_0,cifar10,Rademacher Noise_mean,40.91	+/- 0.75,73.67	+/- 0.17,24.75	+/- 0.11
cifar100_resnet18_baseline_rate_0,cifar100,Error Detection,44.37254155564015,87.16984636797996,62.956843038402454
cifar10_resnet18_baseline_rate_0,cifar10,Blob_mean,19.69	+/- 0.46,93.80	+/- 0.14,71.67	+/- 0.63
cifar100_resnet18_baseline_rate_0,cifar100,Gaussian Noise (sigma = 0.5)_mean,31.12	+/- 0.37,83.70	+/- 0.13,35.09	+/- 0.20
cifar100_resnet18_baseline_rate_0,cifar100,Rademacher Noise_mean,37.76	+/- 0.26,74.97	+/- 0.18,25.50	+/- 0.13
cifar100_resnet18_baseline_rate_0,cifar100,Blob_mean,36.95	+/- 0.83,85.55	+/- 0.27,42.59	+/- 0.46
cifar10_resnet18_baseline_rate_0,cifar10,Textures_mean,36.51	+/- 0.84,88.68	+/- 0.14,57.29	+/- 0.35
